@relation PresenceOfPecans
@attribute Site numeric
@attribute LATITUDE numeric
@attribute ELEV numeric
@attribute COKLM numeric
@attribute MWM numeric
@attribute MCM numeric
@attribute RHIGH numeric
@attribute RLOW numeric
@attribute RRCORR numeric
@attribute CMAT numeric
@attribute CRR numeric
@attribute RRCORR2 numeric
@attribute SEASON {1,2,3,4}
@attribute RRCORR3 numeric
@attribute ET numeric
@attribute BT numeric
@attribute PET numeric
@attribute AE numeric
@attribute RUNOFF numeric
@attribute BIO5 numeric
@attribute BAR5 numeric
@attribute NAGP numeric
@attribute TEMP numeric
@attribute WATD numeric
@attribute MI numeric
@attribute HIRX numeric
@attribute SNOWAC numeric
@attribute RRANGE numeric
@attribute TRANGE numeric
@attribute REVEN numeric
@attribute MRAIN numeric
@attribute MTEMP numeric
@attribute SDTEMP numeric
@attribute SDRAIN numeric
@attribute CVTEMP numeric
@attribute CVRAIN numeric
@attribute WSTORAGE numeric
@attribute PTOAE numeric
@attribute PTOWATD numeric
@attribute PTORUN numeric
@attribute PTOWATR numeric
@attribute PGROW numeric
@attribute GROWC numeric
@attribute WLTGRC numeric
@attribute WATDGRC numeric
@attribute RUNGRC numeric
@attribute WATRGRC numeric
@attribute WRET numeric
@attribute PERWLTG numeric
@attribute PERWDEF numeric
@attribute PERWRET numeric
@attribute DEFPER numeric
@attribute AVWAT numeric
@attribute CLIM numeric
@attribute CLASS {D, W}
@attribute MEDSTAB numeric
@attribute SUCSTAB numeric
@attribute SUCSTAB2 numeric
@attribute WACCESS numeric
@attribute LLAT numeric
@attribute LBIO5 numeric
@attribute LNAGP numeric
@attribute LMEANELV numeric
@attribute LET numeric
@attribute LPET numeric
@attribute LAE numeric
@attribute LBT numeric
@attribute LTRANGE numeric
@attribute LCMAT numeric
@attribute LMCM numeric
@attribute LMWM numeric
@attribute LMTEMP numeric
@attribute LCVTEMP numeric
@attribute LCRR numeric
@attribute LREVEN numeric
@attribute LRRCORR2 numeric
@attribute LRRCORR3 numeric
@attribute LRRANGE numeric
@attribute LDEFPER numeric
@attribute LPERWDEF numeric
@attribute LPTOAE numeric
@attribute LRUNOFF numeric
@attribute LRHIGH numeric
@attribute LRLOW numeric
@attribute LCOKLM numeric
@attribute LPERWLTG numeric
@attribute LSNOWAC numeric
@attribute LWACCESS numeric
@attribute LPTORUN numeric
@attribute LRUNGRC numeric
@attribute LWRET numeric
@attribute LWLTGRC numeric
@attribute LBAR5 numeric
@attribute LMRAIN numeric
@attribute LWATD numeric
@attribute LCVRAIN numeric
@attribute LPTOWATD numeric
@attribute LPTOWATR numeric
@attribute LWATRGRC numeric
@attribute LHIRX numeric
@attribute LSSTAB2 numeric
@attribute EXPREY numeric
@attribute LEXPREY numeric

@attribute Pecans {0,1}
@data


1,11.1,1640,69,34.72,24.28,38.1,1.02,2,29.213,148.082,6.5,3,4.5,20.7229,29.213,1817.6572,148.082,0,64.6215,0.7368,87.7069,46.3564,1669.5753,-91.8531,12.2747,0,37.08,10.44,3.0875,2.6772,86.9042,3.6283,12.5343,12.4203,101.5729,68.95,12.2747,1.0887,1817.6572,1817.6572,0,12,12,12,0,0,0,1,1,0,100,1,6,D,0.9215,145.2766,10.0408,0.02,1.0457,1.8104,1.943,3.2148,1.3165,3.2595,2.1705,1.4656,1.0187,1.8076,1.8709,1.5406,1.9586,3.4789,2.1705,0.4896,-3,1.0212,1.5691,2,0.0043,1.0894,-2,1.5809,0.0086,1.8389,0.0043,-2,-1.5229,3.2595,-2,-2,1.0795,-0.1327,0.4277,3.2226,2.0068,0.0409,3.2595,-2,1.089,1.0022,26.9653,1.4308,0
2,31.58,2558,683,32.5,6,19.05,0.03,7,19.1991,75.311,11.5,4,11.5,15.2174,19.1991,1083.3516,154.9039,165.3214,319.5935,3.3814,94.5156,46.3637,928.4478,-93.0483,14.385,0,19.02,26.5,3.0354,0.1575,65.8065,9.4447,8.0781,49.1935,128.7153,143.03,6.9937,1.1668,6.553,38.0639,7,10,7,7,3,2,28.4614,0.7,0.7,0.2,70,1,4,D,8.4067,75.597,20.393,0.2667,1.4995,2.5046,1.9755,3.4079,1.1823,3.0348,2.1901,1.2833,1.4232,1.734,1.7482,1.5119,1.8439,3.4842,1.8769,0.4822,-3,1.243,1.2792,1.8452,-0.1487,0.8453,2.2184,1.2799,-1.5229,2.8344,-0.1487,-2,-0.558,0.8171,0.4786,1.4544,0.8457,0.5291,-0.8027,2.9678,2.1096,0.0707,1.5806,0.3032,1.1579,1.3097,82.8629,1.9184,0
3,37.15,3935,1335,26.5,0.28,104.9,1.02,-3,13.2222,511.556,1.5,1,1.5,13.8572,13.2222,781.7856,315.9688,208.4063,7765.4863,25.1628,308.6096,48.2087,465.8168,-34.5657,1.5283,29.5899,103.88,26.22,2.4607,0.9724,63.3287,9.3285,39.9386,70.5516,93.6873,94.1372,2.4742,1.6783,3.7513,18.9419,22,7,3,5,2,2,41.2729,0.4286,0.7143,0.2857,71.4286,2,3,D,0.3984,11.9386,11.9386,0.345,1.5701,3.8902,2.4894,3.5949,1.1417,2.8931,2.4996,1.1213,1.4186,1.6832,1.7014,1.4232,1.8282,3.4872,2.7089,0.3911,-3,0.8751,2.0165,1.8539,-0.1401,0.3952,2.3189,2.0208,0.0086,3.1255,-0.3579,1.4713,-0.4498,0.5753,0.3032,1.6158,0.4786,1.4008,-0.0122,2.6682,1.9717,0.2274,1.2777,0.3032,0.1842,1.0773,288.7794,2.4606,0
4,32.4,2164,837,33.72,6.72,21.08,0.03,7,19.6574,72.009,11.5,4,11.5,15.4222,19.6574,1105.2578,72.009,27.372,332.5465,12.5485,26.501,45.3104,1033.2488,-93.4849,15.3489,0,21.05,27,3.5129,0.1423,65.7012,9.8159,7.2019,49.935,120.0164,94.1372,15.3489,1.0697,40.3791,191.9217,9,10,7,9,1,2,5.7589,0.7,0.9,0.2,90,1,4,D,9.9922,91.8971,5.2199,0.2667,1.5107,2.5219,1.4233,3.3353,1.1881,3.0435,1.8574,1.2935,1.4314,1.7376,1.7537,1.5279,1.8432,3.4843,1.8574,0.5457,-3,1.243,1.3233,1.9543,-0.041,1.1864,1.4375,1.3239,-1.5229,2.9227,-0.1487,-2,-0.558,1.6063,0.0043,0.7611,0.8457,1.0986,-0.8468,3.0142,2.0792,0.0333,2.2831,0.3032,1.1861,0.7185,15.3077,1.1849,0
5,36.66,1492,1291,31.5,2.72,71.12,0.03,-4,16.6111,346.9894,0.5,1,0.5,14.6767,16.6111,974.8534,239.3481,236.9126,3317.0909,17.0438,194.621,45.16,735.5053,-64.406,2.8095,0,71.09,28.78,2.4596,0.0422,62.3791,10.3425,26.5408,62.2623,91.7866,143.03,4.073,1.3254,4.1148,21.1932,16,9,5,5,4,3,45.9984,0.5556,0.5556,0.3333,55.5556,2,4,D,0.9642,21.07,21.07,0.3483,1.5643,3.5208,2.2892,3.1738,1.1666,2.9889,2.379,1.2204,1.4591,1.7127,1.722,1.4983,1.822,3.486,2.5403,0.3909,-3,0.8129,1.8518,1.7448,-0.2475,0.611,2.3746,1.852,-1.5229,3.1109,-0.2475,-2,-0.4458,0.6154,0.6031,1.6628,0.6998,1.2316,-1.3747,2.8666,1.9628,0.1256,1.3264,0.4786,0.4486,1.3239,250.5966,2.399,0
6,34.8,4198,1066,22.5,1.22,55.12,0.03,5,11.6435,305.1048,9.5,4,9.5,13.4156,11.6435,687.4878,237.2443,181.6496,3601.4086,18.7779,191.7896,53.4069,450.2435,-55.6203,2.2533,0,55.09,21.28,2.1679,0.0544,68.4741,7.4611,21.1484,64.0791,83.1781,143.03,2.8978,1.5269,3.7847,17.3287,15,7,4,5,2,2,39.6734,0.5714,0.7143,0.2857,71.4286,2,3,D,1.1542,17.0182,17.0182,0.2617,1.5417,3.5565,2.2828,3.623,1.1276,2.8373,2.3752,1.0661,1.328,1.6688,1.7094,1.3522,1.8602,3.4863,2.4844,0.336,-3,1.1903,1.7411,1.8539,-0.1401,0.4636,2.2593,1.7413,-1.5229,3.0278,-0.2355,-2,-0.5659,0.5792,0.3032,1.5986,0.6031,1.2736,-1.2644,2.6535,1.92,0.1866,1.239,0.3032,0.3528,1.2312,210.6791,2.3236,0
7,31.17,300,147,27.5,11.22,186.44,55.63,-4.5,19.6204,1612.138,0,1,4.5,15.7666,19.6204,1037.0242,1030.8112,660.9449,29453.2785,13.4047,2197.2393,57.2807,6.213,55.4581,0.6433,0,130.81,16.28,1.3878,29.838,77.5448,6.4156,36.1519,32.6989,26.9098,174.52,1.006,166.912,1.569,9.105,24,12,0,1,11,12,113.8956,0.001,0.0833,1,8.3333,8,4,W,0.2379,0.0115,0.0115,1.019,1.4939,4.4691,3.3419,2.4771,1.1977,3.0158,3.0132,1.2927,1.2117,1.7374,1.7869,1.4393,1.9114,3.4818,3.2074,0.1423,-3,1.0212,2.1166,0.9213,-1.0301,0.0069,2.8202,2.2705,1.7453,2.1673,-1.9586,-2,0.0124,0.1984,1.0418,2.0565,-2,1.1273,1.4748,0.794,1.4299,2.2225,0.9598,1.0795,-0.1916,-1.6676,586.1721,2.768,0
8,30.7,10,2,27.44,11.39,185.67,85.09,-1,19.662,1580.642,3.5,2,4.5,15.8014,19.662,1036.339,1031.6748,626.9344,28901.8739,13.1354,2200.2959,57.5031,4.6642,52.5217,0.6556,0,100.58,16.05,1.4096,45.8286,77.8437,6.3342,29.2168,32.2153,22.181,108.75,1.0045,222.1901,1.653,16.5021,24,12,0,2,10,11,62.8006,0.001,0.1667,0.9167,16.6667,8,4,W,0.0125,0.0118,0.0118,1.019,1.4873,4.4609,3.3425,1.0004,1.1987,3.0155,3.0135,1.2936,1.2055,1.7377,1.7881,1.4384,1.913,3.4818,3.1988,0.1491,-3,1.0212,2.0025,1.2221,-0.7528,0.0063,2.7972,2.2687,1.9299,0.3032,-1.9586,-2,0.0124,0.2209,1.0004,1.798,-2,1.1184,1.6611,0.6697,1.346,2.3467,1.2178,1.0418,-0.1834,-1.6615,539.9816,2.7324,0
9,31.45,320,100,27.11,10.72,164.34,60.45,-0.5,19.3333,1379.22,4,2,4.5,15.6128,19.3333,1020.8391,963.2669,481.2518,24881.3687,12.6723,1963.4481,57.6107,57.5721,35.1065,0.7402,0,103.89,16.39,1.4299,36.7835,77.2708,6.4703,29.7318,33.4668,25.8684,174.52,1.0598,17.7315,2.1212,13.1372,24,12,0,5,7,7,77.7058,0.001,0.4167,0.5833,41.6667,7,4,W,0.0034,0.0125,0.0125,1.019,1.4978,4.3959,3.293,2.5052,1.1935,3.009,2.9837,1.2863,1.2146,1.7351,1.7833,1.4331,1.9099,3.4819,3.1396,0.1553,-3,1.0212,2.0166,1.6199,-0.3699,0.0293,2.6824,2.2157,1.7814,2,-1.9586,-2,0.0124,0.3286,0.8457,1.8905,-2,1.1029,1.5657,1.7603,1.4128,1.249,1.1188,0.8457,-0.1307,-1.6478,665.5973,2.8232,0
10,57.68,1439,34,11.25,-6.75,101.98,30.48,0.1,1.9375,690.668,4.6,2,4.6,10.3846,3.9375,408.1257,344.2203,226.6038,8091.2529,22.744,355.753,47.3815,63.9054,69.2292,0.5909,242.8741,71.5,18,1.7718,29.8882,68,6.7558,23.7918,348.6854,41.337,66.72,1.1857,6.3864,1.8011,7.5992,28,4,0,2,2,3,53.7063,0.001,0.5,0.75,50,7,2,W,0.0001,0.0097,0.0097,0.3397,1.7611,3.908,2.5511,3.1581,1.0164,2.6108,2.5368,0.5952,1.2553,1.5675,1.636,1.0512,1.8573,3.5249,2.8393,0.2484,-3,1.0253,1.8543,1.6991,-0.2924,0.0776,2.3553,2.0085,1.484,1.5316,-1.9586,2.3854,-0.4563,0.2579,0.3032,1.7301,-2,1.3569,1.4755,1.8056,1.6163,0.8059,0.8813,0.4786,-0.2285,-1.7055,135.7132,2.1326,0
11,55,684,25,10.72,-2.22,124.21,40.89,0.1,3.1625,897.857,4.6,2,4.6,10.2751,3.815,388.7257,388.7257,441.9884,8646.9832,19.8635,435.3192,54.6034,0,130.9744,0.4329,224.9138,83.32,12.94,1.6601,32.9201,76.7767,4.8783,28.5599,154.2547,38.1708,174.52,1,388.7257,0.8795,2.6614,32,3,0,0,3,3,146.0584,0.001,0,1,0,8,2,W,0.0001,0.0078,0.0078,0.2547,1.7404,3.9369,2.6388,2.8351,1.0118,2.5896,2.5896,0.5815,1.1119,1.5816,1.6792,1.0302,1.9073,3.4989,2.9532,0.2201,-3,1.0253,1.9207,-2,-2,0.0043,2.6454,2.0942,1.6116,1.3981,-1.9586,2.352,-0.5772,-0.0509,0.4786,2.1646,-2,1.2981,1.5175,-2,1.5817,2.5897,0.4267,0.4786,-0.3636,-1.7496,266.948,2.4264,0
