@relation PresenceOfPecans

@attribute Site numeric
@attribute LATITUDE numeric
@attribute ELEV numeric
@attribute COKLM numeric
@attribute MWM numeric
@attribute MCM numeric
@attribute RHIGH numeric
@attribute RLOW numeric
@attribute RRCORR numeric
@attribute CMAT numeric
@attribute CRR numeric
@attribute RRCORR2 numeric
@attribute SEASON {1,2,3,4}
@attribute RRCORR3 numeric
@attribute ET numeric
@attribute BT numeric
@attribute PET numeric
@attribute AE numeric
@attribute RUNOFF numeric
@attribute BIO5 numeric
@attribute BAR5 numeric
@attribute NAGP numeric
@attribute TEMP numeric
@attribute WATD numeric
@attribute MI numeric
@attribute HIRX numeric
@attribute SNOWAC numeric
@attribute RRANGE numeric
@attribute TRANGE numeric
@attribute REVEN numeric
@attribute MRAIN numeric
@attribute MTEMP numeric
@attribute SDTEMP numeric
@attribute SDRAIN numeric
@attribute CVTEMP numeric
@attribute CVRAIN numeric
@attribute WSTORAGE numeric
@attribute PTOAE numeric
@attribute PTOWATD numeric
@attribute PTORUN numeric
@attribute PTOWATR numeric
@attribute PGROW numeric
@attribute GROWC numeric
@attribute WLTGRC numeric
@attribute WATDGRC numeric
@attribute RUNGRC numeric
@attribute WATRGRC numeric
@attribute WRET numeric
@attribute PERWLTG numeric
@attribute PERWDEF numeric
@attribute PERWRET numeric
@attribute DEFPER numeric
@attribute AVWAT numeric
@attribute CLIM numeric
@attribute CLASS {D, W}
@attribute MEDSTAB numeric
@attribute SUCSTAB numeric
@attribute SUCSTAB2 numeric
@attribute WACCESS numeric
@attribute LLAT numeric
@attribute LBIO5 numeric
@attribute LNAGP numeric
@attribute LMEANELV numeric
@attribute LET numeric
@attribute LPET numeric
@attribute LAE numeric
@attribute LBT numeric
@attribute LTRANGE numeric
@attribute LCMAT numeric
@attribute LMCM numeric
@attribute LMWM numeric
@attribute LMTEMP numeric
@attribute LCVTEMP numeric
@attribute LCRR numeric
@attribute LREVEN numeric
@attribute LRRCORR2 numeric
@attribute LRRCORR3 numeric
@attribute LRRANGE numeric
@attribute LDEFPER numeric
@attribute LPERWDEF numeric
@attribute LPTOAE numeric
@attribute LRUNOFF numeric
@attribute LRHIGH numeric
@attribute LRLOW numeric
@attribute LCOKLM numeric
@attribute LPERWLTG numeric
@attribute LSNOWAC numeric
@attribute LWACCESS numeric
@attribute LPTORUN numeric
@attribute LRUNGRC numeric
@attribute LWRET numeric
@attribute LWLTGRC numeric
@attribute LBAR5 numeric
@attribute LMRAIN numeric
@attribute LWATD numeric
@attribute LCVRAIN numeric
@attribute LPTOWATD numeric
@attribute LPTOWATR numeric
@attribute LWATRGRC numeric
@attribute LHIRX numeric
@attribute LSSTAB2 numeric
@attribute EXPREY numeric
@attribute LEXPREY numeric
@attribute Pecan {0,1}

@data


1,32.9500,640.0000,274.0000,26.4000,6.1000,166.6200,72.1400,-4.0000,16.6500,1451.09,0.5000,1,0.5000,14.6360,16.6500,888.3575,841.4312,676.7027,27869.1767,17.7661,1568.6675,54.5511,46.9263,63.3453,0.6122,0.0000,94.4800,20.3000,1.3779,43.2961,71.5686,7.3935,24.8531,44.4057,20.5527,174.5200,1.0558,18.9309,1.3128,9.1347,24.0000,10.0000,0.0000,2.0000,8.0000,8.0000,97.2512,0.0010,0.2000,0.8000,20.0000,7.0000,4.0000,W,0.1670,0.0103,0.0103,0.8492,1.5180,4.4451,3.1955,2.8062,1.1654,2.9486,2.9250,1.2214,1.3075,1.7131,1.7490,1.4216,1.8783,3.4835,3.1617,0.1392,-3.0000,0.8129,1.9753,1.3012,-0.6778,0.0277,2.8304,2.2217,1.8582,2.4378,-1.9586,-2.0000,-0.0659,0.1215,0.9036,1.9879,-2.0000,1.2496,1.6364,1.6715,1.3129,1.2774,0.9612,0.9036,-0.2131,-1.6925,709.0644,2.8507,0
2,33.1300,240.0000,251.0000,27.2000,5.9000,159.0000,78.2300,-4.0000,16.9417,1427.22,0.5000,1,0.5000,14.6962,16.9417,914.3371,785.2924,676.5928,27567.2003,19.7079,1398.7887,53.2276,129.0446,56.0934,0.6406,0.0000,80.7700,21.3000,1.3369,49.2013,70.4986,7.7480,25.1894,45.7335,21.1791,174.5200,1.1643,7.0854,1.3514,9.0185,26.0000,10.0000,0.0000,3.0000,7.0000,7.0000,101.3841,0.0010,0.3000,0.7000,30.0000,7.0000,4.0000,W,0.1538,0.0102,0.0102,0.8492,1.5204,4.4404,3.1458,2.3802,1.1672,2.9611,2.8950,1.2290,1.3284,1.7155,1.7474,1.4346,1.8721,3.4837,3.1545,0.1261,-3.0000,0.8129,1.9073,1.4773,-0.5086,0.0698,2.8303,2.2014,1.8934,2.3997,-1.9586,-2.0000,-0.0659,0.1340,0.8457,2.0060,-2.0000,1.2946,1.6920,2.1108,1.3259,0.8510,0.9556,0.8457,-0.1934,-1.6946,555.1485,2.7444,0
3,31.3000,250.0000,92.0000,27.3000,9.1000,182.8800,78.2300,-4.0000,18.6667,1572.01,0.5000,1,4.5000,15.2824,18.6667,984.1896,976.0731,678.4233,29328.5800,14.6134,2006.9691,55.9993,8.1164,59.7263,0.6261,0.0000,104.6500,18.2000,1.3960,42.7767,74.8271,6.7896,26.5206,36.3729,20.2446,174.5200,1.0083,121.2594,1.4507,9.6183,24.0000,12.0000,0.0000,1.0000,11.0000,11.0000,102.3247,0.0010,0.0833,0.9167,8.3333,8.0000,4.0000,W,0.1821,0.0110,0.0110,1.0190,1.4957,4.4673,3.3025,2.3979,1.1842,2.9931,2.9895,1.2711,1.2601,1.7297,1.7716,1.4362,1.8967,3.4824,3.1965,0.1449,-3.0000,1.0212,2.0197,0.9213,-1.0301,0.0079,2.8315,2.2622,1.8934,1.9638,-1.9586,-2.0000,0.0124,0.1646,1.0418,2.0100,-2.0000,1.1648,1.6312,0.9099,1.3063,2.0838,0.9835,1.0418,-0.2034,-1.6778,717.8522,2.8560,0
4,33.6500,594.0000,381.0000,26.7000,6.3000,159.5100,72.9000,-4.0000,16.9000,1319.03,0.5000,1,0.5000,14.7042,16.9000,905.6278,785.0826,577.6548,25667.3819,18.3579,1398.1684,54.3266,120.5452,45.6481,0.6866,0.0000,86.6100,20.4000,1.4512,45.7025,71.5481,7.4603,23.7322,44.1439,21.5906,174.5200,1.1535,7.5128,1.5678,9.8435,26.0000,10.0000,0.0000,3.0000,7.0000,7.0000,92.0022,0.0010,0.3000,0.7000,30.0000,7.0000,4.0000,W,0.2054,0.0115,0.0115,0.8492,1.5271,4.4094,3.1456,2.7738,1.1674,2.9569,2.8949,1.2279,1.3096,1.7152,1.7505,1.4265,1.8782,3.4835,3.1203,0.1617,-3.0000,0.8129,1.9376,1.4773,-0.5086,0.0658,2.7617,2.2028,1.8627,2.5809,-1.9586,-2.0000,-0.0659,0.1981,0.8457,1.9638,-2.0000,1.2638,1.6599,2.0812,1.3343,0.8764,0.9936,0.8457,-0.1633,-1.6676,692.3708,2.8403,0
5,33.2300,1010.0000,311.0000,25.8000,5.9000,183.6400,86.3600,-4.0000,16.4250,1509.01,0.5000,1,0.5000,14.5305,16.4250,872.3506,836.2660,762.7346,30918.6685,19.9126,1552.7151,55.1922,36.0845,72.9821,0.5781,0.0000,97.2800,19.9000,1.4603,47.0268,71.8927,7.1996,26.9167,43.8334,21.4048,174.5200,1.0431,24.1752,1.1437,8.3648,26.0000,10.0000,0.0000,2.0000,8.0000,8.0000,104.2889,0.0010,0.2000,0.8000,20.0000,7.0000,3.0000,W,0.1907,0.0106,0.0106,0.8492,1.5217,4.4902,3.1911,3.0043,1.1623,2.9407,2.9223,1.2155,1.2989,1.7112,1.7474,1.4116,1.8802,3.4834,3.1787,0.1644,-3.0000,0.8129,1.9880,1.3012,-0.6778,0.0225,2.8824,2.2640,1.9363,2.4928,-1.9586,-2.0000,-0.0659,0.0621,0.9036,2.0183,-2.0000,1.2991,1.6723,1.5574,1.3305,1.3835,0.9230,0.9036,-0.2380,-1.6861,671.8528,2.8273,0
6,34.8000,720.0000,446.0000,25.8000,3.4000,164.0800,78.9900,-4.0000,15.1250,1480.82,0.5000,1,0.5000,14.1579,15.1250,836.7802,786.9627,767.5604,38796.6166,27.6382,1403.7310,52.4189,49.8175,76.9664,0.5651,0.0000,85.0900,22.4000,1.3296,48.1412,68.3616,8.1520,22.8137,53.8974,18.4873,174.5200,1.0633,16.7969,1.0902,7.6643,28.0000,9.0000,0.0000,1.0000,8.0000,8.0000,109.1788,0.0010,0.1111,0.8889,11.1111,7.0000,3.0000,W,0.1375,0.0092,0.0092,0.7642,1.5417,4.5888,3.1473,2.8573,1.1510,2.9226,2.8960,1.1797,1.3502,1.7001,1.7275,1.4116,1.8595,3.4849,3.1705,0.1237,-3.0000,0.8129,1.9299,1.0461,-0.9169,0.0307,2.8851,2.2151,1.8976,2.6493,-1.9586,-2.0000,-0.1111,0.0415,0.9036,2.0382,-2.0000,1.4415,1.6825,1.6975,1.2669,1.2255,0.8850,0.9036,-0.2479,-1.7167,576.8251,2.7610,0
7,31.1700,300.0000,47.0000,26.9000,8.7000,193.2900,68.0700,-0.5000,18.4917,1638.81,4.0000,2,4.5000,15.1603,18.4917,973.1282,956.9823,842.3950,32231.4679,16.5951,1942.2292,56.3030,16.1459,68.4064,0.5938,0.0000,125.2200,18.2000,1.4153,35.2165,74.6871,6.7948,34.0628,36.7454,24.9421,174.5200,1.0169,60.2709,1.1552,7.9358,26.0000,12.0000,0.0000,2.0000,10.0000,12.0000,122.6247,0.0010,0.1667,1.0000,16.6667,7.0000,4.0000,W,0.0029,0.0107,0.0107,1.0190,1.4939,4.5083,3.2883,2.4771,1.1807,2.9882,2.9809,1.2670,1.2601,1.7283,1.7686,1.4298,1.8959,3.4824,3.2145,0.1508,-3.0000,1.0212,2.0977,1.2221,-0.7528,0.0115,2.9255,2.2862,1.8330,1.6722,-1.9586,-2.0000,0.0124,0.0664,1.0004,2.0886,-2.0000,1.2200,1.5467,1.2083,1.3969,1.7802,0.9001,1.0795,-0.2264,-1.6840,379.6609,2.5794,0
8,32.6000,652.0000,246.0000,26.6000,7.1000,164.8500,68.8300,-4.0000,17.4333,1336.80,0.5000,1,0.5000,14.8291,17.4333,924.8075,815.5189,552.7264,24569.4547,16.4974,1489.2942,55.2679,109.2886,44.5490,0.6918,0.0000,96.0200,19.5000,1.4798,41.7531,72.7654,7.1865,27.7810,41.2229,24.9380,174.5200,1.1340,8.4621,1.6732,11.7371,24.0000,11.0000,0.0000,3.0000,8.0000,8.0000,78.7933,0.0010,0.2727,0.7273,27.2727,7.0000,4.0000,W,0.2184,0.0119,0.0119,0.9341,1.5134,4.3904,3.1730,2.8142,1.1711,2.9661,2.9114,1.2414,1.2900,1.7196,1.7566,1.4249,1.8852,3.4830,3.1261,0.1702,-3.0000,0.8129,1.9824,1.4359,-0.5487,0.0584,2.7425,2.2171,1.8378,2.3910,-1.9586,-2.0000,-0.0250,0.2261,0.9036,1.8965,-2.0000,1.2174,1.6207,2.0386,1.3969,0.9280,1.0699,0.9036,-0.1600,-1.6596,923.8737,2.9656,0
