@relation AmericanCranberrybush

@ATTRIBUTE Serial numeric 
@ATTRIBUTE LAT numeric
@ATTRIBUTE LONG numeric
@ATTRIBUTE ELEV numeric 
@ATTRIBUTE COKLM numeric
@ATTRIBUTE VEGNU {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28} 
@ATTRIBUTE MWM numeric 
@ATTRIBUTE MCM numeric 
@ATTRIBUTE RHIGH numeric 
@ATTRIBUTE RLOW numeric 
@ATTRIBUTE RRCORR numeric 
@ATTRIBUTE CMAT numeric 
@ATTRIBUTE ET numeric 
@ATTRIBUTE PET numeric 
@ATTRIBUTE CRR numeric 
@ATTRIBUTE WSTORAGE numeric 
@ATTRIBUTE SNOWAC numeric 
@ATTRIBUTE WRET numeric 
@ATTRIBUTE PERWRET numeric 
@ATTRIBUTE AE numeric 
@ATTRIBUTE RUNOFF numeric 
@ATTRIBUTE WATD numeric 
@ATTRIBUTE MI numeric 
@ATTRIBUTE BT numeric 
@ATTRIBUTE GROWC numeric 
@ATTRIBUTE WLTGRC numeric 
@ATTRIBUTE WATDGRC numeric 
@ATTRIBUTE WATRGRC numeric 
@ATTRIBUTE RUNGRC numeric 
@ATTRIBUTE PGROW numeric 
@ATTRIBUTE SDTEMP numeric 
@ATTRIBUTE CVTEMP numeric 
@ATTRIBUTE SDRAIN numeric 
@ATTRIBUTE CVRAIN numeric 
@ATTRIBUTE RRCORR2 numeric 
@ATTRIBUTE RRCORR3 numeric 
@ATTRIBUTE SEASON {1,2,3,4} 
@ATTRIBUTE PERWRET numeric 
@ATTRIBUTE PERWDEF numeric 
@ATTRIBUTE PERWLTG numeric 
@ATTRIBUTE DEFPER numeric 
@ATTRIBUTE NAGP numeric 
@ATTRIBUTE BIO5 numeric 
@ATTRIBUTE BAR5 numeric 
@ATTRIBUTE HIRX numeric 
@ATTRIBUTE RRANGE numeric 
@ATTRIBUTE TRANGE numeric 
@ATTRIBUTE REVEN numeric 
@ATTRIBUTE MRAIN numeric 
@ATTRIBUTE MTEMP numeric 
@ATTRIBUTE TEMP numeric 
@ATTRIBUTE PTOAE numeric 
@ATTRIBUTE PTOWATD numeric 
@ATTRIBUTE PTORUN numeric 
@ATTRIBUTE PTOWATR numeric 
@ATTRIBUTE MEDSTAB numeric 
@ATTRIBUTE SUCSTAB numeric 
@ATTRIBUTE SUCSTAB2 numeric 
@ATTRIBUTE WACCESS numeric 
@ATTRIBUTE CLIM numeric 
@ATTRIBUTE AVWAT numeric 
@ATTRIBUTE CLASS {W,D} 
@ATTRIBUTE LBIO numeric
@ATTRIBUTE LBIO5 numeric 
@ATTRIBUTE LBAR5 numeric 
@ATTRIBUTE LNAGP numeric 
@ATTRIBUTE LET numeric 
@ATTRIBUTE LPET numeric 
@ATTRIBUTE LAE numeric 
@ATTRIBUTE LBT numeric 
@ATTRIBUTE LTRANGE numeric 
@ATTRIBUTE LCMAT numeric 
@ATTRIBUTE LMCM numeric 
@ATTRIBUTE LMWM numeric 
@ATTRIBUTE LMTEMP numeric 
@ATTRIBUTE LCVTEMP numeric 
@ATTRIBUTE LCRR numeric 
@ATTRIBUTE LREVEN numeric 
@ATTRIBUTE LRHIGH numeric 
@ATTRIBUTE LRLOW numeric 
@ATTRIBUTE LRRCORR3 numeric 
@ATTRIBUTE LRRANGE numeric 
@ATTRIBUTE LMRAIN numeric 
@ATTRIBUTE LRUNOFF numeric 
@ATTRIBUTE LSNOWAC numeric 
@ATTRIBUTE LWATD numeric 
@ATTRIBUTE LCVRAIN numeric 
@ATTRIBUTE LDEFPER numeric
@ATTRIBUTE LSUCSTAB numeric 
@ATTRIBUTE LPTOAE numeric 
@ATTRIBUTE LPTOWATD numeric 
@ATTRIBUTE LPTORUN numeric 
@ATTRIBUTE LPTOWATR numeric 
@ATTRIBUTE LWACCESS numeric 
@ATTRIBUTE LWRET numeric
@ATTRIBUTE LWLTGRC numeric 
@ATTRIBUTE LRUNGRC numeric 
@ATTRIBUTE LWATRGRC numeric 
@ATTRIBUTE LPERWDEF numeric 
@ATTRIBUTE LPERWLTG numeric 
@ATTRIBUTE LHIRX numeric 
@ATTRIBUTE LSSTAB2 numeric 
@ATTRIBUTE LCOKLM numeric 
@ATTRIBUTE LLAT numeric 
@ATTRIBUTE EXPREY numeric 
@ATTRIBUTE LEXPREY numeric 
@ATTRIBUTE AmericanCranberrybush {0,1}

@data
1,32.95,-85.95,640,273.6000061,10,26.3889,6.1111,166.6239929,72.13600159,-4,16.6481,14.6365,888.3047,1451.1021,174.5200043,0,97.1918,55.6909,841.2066,677.0239,47.0982,63.3563,16.6481,10,0,2,8,8,24,7.3947,44.4175,24.8546,20.5537,0.5,0.5,1,0.8,0.2,0.001,20,1567.9724,27868.0996,17.7733,0.6122,94.488,20.2778,1.3779,43.2927,71.5953,54.5784,1.056,18.8607,1.3121,9.1397,0.167,0.0103,0.0103,0.8492,4,7,W,4.5233,4.4451,1.2498,3.1953,1.1654,2.9486,2.9249,1.2214,1.307,1.7131,1.749,1.4214,1.8785,3.4835,3.1617,0.1392,2.2217,1.8582,0.8129,1.9754,1.6364,2.8306,-2,1.6731,1.3129,1.3012,-1.9858,0.0278,1.2758,0.1213,0.9614,-0.0659,1.9877,-2,0.9036,0.9036,-0.6778,-1.9586,-0.2131,-1.6918,2.4371,1.518,663.258,2.8217,0
2,33.13,-88.13,240,251.1000061,10,27.1667,5.9444,159.0039978,78.23200226,-4,16.9537,14.6996,914.4561,1427.226,174.5200043,0,101.3261,58.0599,785.9155,675.3904,128.5405,56.0738,16.9537,10,0,3,7,7,26,7.7275,45.5802,25.1904,21.1799,0.5,0.5,1,0.7,0.3,0.001,30,1400.6317,27571.5664,19.6851,0.6407,80.772,21.2222,1.3369,49.2013,70.5928,53.3172,1.1636,7.1141,1.354,9.0249,0.1539,0.0102,0.0102,0.8492,4,7,W,4.3901,4.4405,1.2941,3.1463,1.1673,2.9612,2.8954,1.2293,1.3268,1.7156,1.7478,1.434,1.8727,3.4837,3.1545,0.1261,2.2014,1.8934,0.8129,1.9073,1.692,2.8296,-2,2.1091,1.3259,1.4773,-1.9916,0.0695,0.8527,0.1348,0.9559,-0.0659,2.0058,-2,0.8457,0.8457,-0.5086,-1.9586,-0.1933,-1.6947,2.3999,1.5204,545.6049,2.7369,0
3,31.3,-86.52,250,91.69999695,10,27.3333,9.1111,182.8800049,78.23200226,-4,18.6574,15.2881,983.271,1572.006,174.5200043,0,102.5608,58.7674,975.2384,680.2863,8.0326,59.8752,18.6574,12,0,1,11,11,24,6.7787,36.3326,26.5197,20.244,0.5,4.5,1,0.9167,0.0833,0.001,8.3333,2004.1208,29341.0098,14.6403,0.6255,104.648,18.2222,1.396,42.7778,74.808,55.9543,1.0082,122.4101,1.4454,9.5872,0.1822,0.011,0.011,1.019,4,8,W,4.6143,4.4675,1.1656,3.3019,1.1844,2.9927,2.9891,1.2709,1.2606,1.7296,1.7717,1.4367,1.8966,3.4823,3.1965,0.1449,2.2622,1.8934,1.0212,2.0197,1.6312,2.8327,-2,0.9054,1.3063,0.9213,-1.9597,0.0078,2.0879,0.163,0.9821,0.0124,2.011,-2,1.0418,1.0418,-1.03,-1.9586,-0.2038,-1.6783,1.9624,1.4957,702.2685,2.8465,0
4,33.65,-85.85,594,381.3999939,10,26.7222,6.2778,159.5119934,72.89800262,-4,16.8981,14.7031,905.4728,1319.022,174.5200043,0,92.0993,52.7729,784.9249,578.0973,120.5479,45.6722,16.8981,10,0,3,7,7,26,7.4588,44.1399,23.7324,21.5909,0.5,0.5,1,0.7,0.3,0.001,30,1397.7021,25669.0176,18.3652,0.6865,86.614,20.4444,1.4512,45.7006,71.495,54.2726,1.1536,7.5113,1.5663,9.8315,0.2054,0.0115,0.0115,0.8492,4,7,W,4.4002,4.4094,1.264,3.1454,1.1674,2.9569,2.8948,1.2278,1.3106,1.7152,1.7503,1.4269,1.8779,3.4835,3.1203,0.1617,2.2028,1.8627,0.8129,1.9376,1.6599,2.762,-2,2.0812,1.3343,1.4773,-1.9386,0.0658,0.8763,0.1976,0.9931,-0.0659,1.9643,-2,0.8457,0.8457,-0.5086,-1.9586,-0.1634,-1.6672,2.5814,1.5271,649.4697,2.8126,0
5,33.23,-85.82,1010,310.6000061,10,25.7778,5.9444,183.6419983,86.36000061,-4,16.4167,14.5349,871.6034,1509.014,174.5200043,0,104.2031,59.7084,836.271,762.1512,35.3324,73.1308,16.4167,10,0,2,8,8,26,7.1882,43.7858,26.9173,21.4052,0.5,0.5,1,0.8,0.2,0.001,20,1552.7305,30940.9707,19.9268,0.5776,97.282,19.8333,1.4604,47.0263,71.978,55.2722,1.0422,24.6687,1.1436,8.3645,0.1908,0.0106,0.0106,0.8492,3,7,W,4.5379,4.4905,1.2994,3.1911,1.1624,2.9403,2.9223,1.2153,1.2974,1.7111,1.7478,1.4112,1.8807,3.4834,3.1787,0.1645,2.264,1.9363,0.8129,1.988,1.6723,2.882,-2,1.5483,1.3305,1.3012,-1.9751,0.0221,1.3923,0.0621,0.923,-0.0659,2.0179,-2,0.9036,0.9036,-0.6778,-1.9586,-0.2384,-1.6864,2.4922,1.5217,602.5298,2.78,0
6,34.8,-86.98,720,445.7999878,10,25.8333,3.4444,164.0839996,78.9940033,-4,15.1343,14.1682,837.2769,1480.8199,174.5200043,0,109.1408,62.5377,786.5308,768.0402,50.7461,76.8614,15.1343,9,0,1,8,8,28,8.1548,53.8833,22.8142,18.4878,0.5,0.5,1,0.8889,0.1111,0.001,11.1111,1402.4524,38807.668,27.6713,0.5654,85.09,22.3889,1.3297,48.1424,68.3922,52.4282,1.0645,16.4993,1.0901,7.6715,0.1377,0.0092,0.0092,0.7642,3,7,W,4.4988,4.5889,1.442,3.1469,1.1513,2.9229,2.8957,1.18,1.35,1.7001,1.7279,1.4122,1.8597,3.4849,3.1705,0.1237,2.2151,1.8976,0.8129,1.9299,1.6825,2.8854,-2,1.7055,1.2669,1.0461,-2.0339,0.0312,1.2177,0.0415,0.8854,-0.1111,2.038,-2,0.9036,0.9036,-0.9168,-1.9586,-0.2476,-1.7156,2.6491,1.5417,533.1803,2.7269,0
7,31.17,-87.43,300,46.70000076,10,26.9444,8.6667,193.2940063,68.0719986,0.100000001,18.4861,15.1586,973.2161,1638.808,174.5200043,0,122.7391,70.3295,957.1216,843.8281,16.0946,68.391,18.4861,12,0,2,12,10,26,6.8077,36.826,34.0634,24.9426,4.599999905,4.5,2,1,0.1667,0.001,16.6667,1942.6985,32230.8047,16.5907,0.5939,125.222,18.2778,1.4154,35.2168,74.5946,56.2015,1.0168,60.4686,1.1533,7.9291,0.0001,0.0107,0.0107,1.019,4,7,W,4.5996,4.5083,1.2199,3.2884,1.1807,2.9882,2.981,1.2668,1.2619,1.7282,1.7684,1.4305,1.8954,3.4824,3.2145,0.1509,2.2862,1.833,1.0212,2.0977,1.5468,2.9263,-2,1.2069,1.3969,1.2221,-1.9701,0.0115,1.7816,0.0657,0.8998,0.0124,2.089,-2,1.0004,1.0795,-0.7528,-1.9586,-0.2263,-1.6838,1.6694,1.4939,354.931,2.5501,0
8,32.6,-85.5,652,246.1999969,10,26.6111,7.0556,164.845993,68.83399963,-4,17.4398,14.8226,925.6525,1336.802,174.5200043,0,78.8658,45.1901,815.1676,553.7791,110.4848,44.4173,17.4398,11,0,3,8,8,24,7.2006,41.2885,27.7801,24.9372,0.5,0.5,1,0.7273,0.2727,0.001,27.2727,1488.2295,24547.9316,16.4947,0.6924,96.012,19.5556,1.4798,41.7565,72.692,55.2075,1.1355,8.3781,1.6715,11.7371,0.2182,0.0119,0.0119,0.9341,4,7,W,4.4282,4.39,1.2173,3.1727,1.1709,2.9664,2.9112,1.2415,1.2913,1.7197,1.7563,1.4251,1.8848,3.4831,3.1261,0.1702,2.2171,1.8378,0.8129,1.9823,1.6207,2.7433,-2,2.0433,1.3968,1.4359,-1.9261,0.059,0.9237,0.2257,1.0699,-0.025,1.8969,-2,0.9036,0.9036,-0.5486,-1.9586,-0.1596,-1.6604,2.3913,1.5134,859.9709,2.9345,0
9,33.45,-87.35,280,294.5,10,25.8333,4.9444,171.7039948,93.47200012,-4,15.7315,14.3846,849.0452,1536.7,174.5200043,0,109.6621,62.8364,811.5352,828.6096,37.51,80.9916,15.7315,9,0,2,7,7,28,7.631,48.5076,24.9531,19.4858,0.5,0.5,1,0.7778,0.2222,0.001,22.2222,1477.2371,39071.6445,26.4491,0.5525,78.232,20.8889,1.3408,54.4379,70.5098,54.0984,1.0462,22.6352,1.0247,7.7424,0.1434,0.0094,0.0094,0.7642,3,7,W,4.5267,4.5919,1.4224,3.1695,1.1579,2.9289,2.9093,1.1968,1.3199,1.7053,1.7399,1.4122,1.8722,3.4841,3.1866,0.1274,2.2348,1.9707,0.8129,1.8934,1.7359,2.9184,-2,1.5743,1.2897,1.347,-2.0252,0.0238,1.355,0.0148,0.8894,-0.1111,2.0401,-2,0.8457,0.8457,-0.6341,-1.9586,-0.2577,-1.7114,2.4691,1.5245,531.8724,2.7258,0
10,30.88,-87.78,271,16.10000038,10,26.6667,9.0556,210.0579987,78.23200226,0.100000001,18.5231,15.2061,969.5143,1718.056,174.5200043,0,131.8359,75.542,969.5143,749.2601,0,77.2079,18.5231,12,0,0,12,12,30,6.5832,35.5402,31.1485,21.7561,4.599999905,4.5,2,1,0,0.001,0,1984.6323,41943.3984,21.1341,0.5643,131.826,17.6111,1.4672,37.243,75.4264,57.0017,1,969.5143,1.294,7.3539,0.0001,0.0109,0.0109,1.019,4,8,W,4.6227,4.6227,1.325,3.2977,1.182,2.9866,2.9866,1.2677,1.2458,1.7285,1.7713,1.426,1.9,3.4822,3.235,0.1665,2.3223,1.8934,1.0212,2.12,1.571,2.8746,-2,-2,1.3376,-2,-1.9621,0.0043,2.9866,0.1153,0.8671,0.0124,2.1201,-2,1.0795,1.0795,-2,-1.9586,-0.2485,-1.6796,1.2071,1.4898,700.1979,2.8452,0
