@relation pecans

@ATTRIBUTE Site numeric 
@ATTRIBUTE lat numeric 
@ATTRIBUTE long numeric 
@ATTRIBUTE ELEV numeric 
@ATTRIBUTE COKLM numeric 
@ATTRIBUTE MWM numeric 
@ATTRIBUTE MCM numeric 
@ATTRIBUTE RHIGH numeric 
@ATTRIBUTE RLOW numeric 
@ATTRIBUTE RRCORR numeric 
@ATTRIBUTE CMAT numeric 
@ATTRIBUTE CRR numeric 
@ATTRIBUTE RRCORR2 numeric 
@ATTRIBUTE SEASON numeric 
@ATTRIBUTE RRCORR3 numeric 
@ATTRIBUTE ET numeric 
@ATTRIBUTE BT numeric 
@ATTRIBUTE PET numeric 
@ATTRIBUTE AE numeric 
@ATTRIBUTE RUNOFF numeric 
@ATTRIBUTE BIO5 numeric 
@ATTRIBUTE BAR5 numeric 
@ATTRIBUTE NAGP numeric 
@ATTRIBUTE TEMP numeric 
@ATTRIBUTE WATD numeric 
@ATTRIBUTE MI numeric 
@ATTRIBUTE HIRX numeric 
@ATTRIBUTE SNOWAC numeric 
@ATTRIBUTE RRANGE numeric 
@ATTRIBUTE TRANGE numeric 
@ATTRIBUTE REVEN numeric 
@ATTRIBUTE MRAIN numeric 
@ATTRIBUTE MTEMP numeric 
@ATTRIBUTE SDTEMP numeric 
@ATTRIBUTE SDRAIN numeric 
@ATTRIBUTE CVTEMP numeric 
@ATTRIBUTE CVRAIN numeric 
@ATTRIBUTE WSTORAGE numeric 
@ATTRIBUTE PTOAE numeric 
@ATTRIBUTE PTOWATD numeric 
@ATTRIBUTE PTORUN numeric 
@ATTRIBUTE PTOWATR numeric 
@ATTRIBUTE PGROW numeric 
@ATTRIBUTE GROWC numeric 
@ATTRIBUTE WLTGRC numeric 
@ATTRIBUTE WATDGRC numeric 
@ATTRIBUTE RUNGRC numeric 
@ATTRIBUTE WATRGRC numeric 
@ATTRIBUTE WRET numeric 
@ATTRIBUTE PERWLTG numeric 
@ATTRIBUTE PERWDEF numeric 
@ATTRIBUTE PERWRET numeric 
@ATTRIBUTE DEFPER numeric 
@ATTRIBUTE AVWAT numeric 
@ATTRIBUTE CLIM numeric 
@ATTRIBUTE CLASS {W,D} 
@ATTRIBUTE MEDSTAB numeric 
@ATTRIBUTE SUCSTAB numeric 
@ATTRIBUTE SUCSTAB2 numeric 
@ATTRIBUTE WACCESS numeric 
@ATTRIBUTE LLAT numeric 
@ATTRIBUTE LBIO5 numeric 
@ATTRIBUTE LNAGP numeric 
@ATTRIBUTE LMEANELV numeric 
@ATTRIBUTE LET numeric 
@ATTRIBUTE LPET numeric 
@ATTRIBUTE LAE numeric 
@ATTRIBUTE LBT numeric 
@ATTRIBUTE LTRANGE numeric 
@ATTRIBUTE LCMAT numeric 
@ATTRIBUTE LMCM numeric 
@ATTRIBUTE LMWM numeric 
@ATTRIBUTE LMTEMP numeric 
@ATTRIBUTE LCVTEMP numeric 
@ATTRIBUTE LCRR numeric 
@ATTRIBUTE LREVEN numeric 
@ATTRIBUTE LRRCORR2 numeric 
@ATTRIBUTE LRRCORR3 numeric 
@ATTRIBUTE LRRANGE numeric 
@ATTRIBUTE LDEFPER numeric 
@ATTRIBUTE LPERWDEF numeric 
@ATTRIBUTE LPTOAE numeric 
@ATTRIBUTE LRUNOFF numeric 
@ATTRIBUTE LRHIGH numeric 
@ATTRIBUTE LRLOW numeric 
@ATTRIBUTE LCOKLM numeric 
@ATTRIBUTE LPERWLTG numeric 
@ATTRIBUTE LSNOWAC numeric 
@ATTRIBUTE LWACCESS numeric 
@ATTRIBUTE LPTORUN numeric 
@ATTRIBUTE LRUNGRC numeric 
@ATTRIBUTE LWRET numeric 
@ATTRIBUTE LWLTGRC numeric 
@ATTRIBUTE LBAR5 numeric 
@ATTRIBUTE LMRAIN numeric 
@ATTRIBUTE LWATD numeric 
@ATTRIBUTE LCVRAIN numeric 
@ATTRIBUTE LPTOWATD numeric 
@ATTRIBUTE LPTOWATR numeric 
@ATTRIBUTE LWATRGRC numeric 
@ATTRIBUTE LHIRX numeric 
@ATTRIBUTE LSSTAB2 numeric 
@ATTRIBUTE EXPREY numeric 
@ATTRIBUTE LEXPREY numeric 
@ATTRIBUTE Pecan {0,1}

@data
1,32.95,-85.95,640,274,26.4,6.1,166.62,72.14,-4,16.65,1451.09,0.5,1,0.5,14.636,16.65,888.3575,841.4312,676.7027,27869.1767,17.7661,1568.6675,54.5511,46.9263,63.3453,0.6122,0,94.48,20.3,1.3779,43.2961,71.5686,7.3935,24.8531,44.4057,20.5527,174.52,1.0558,18.9309,1.3128,9.1347,24,10,0,2,8,8,97.2512,0.001,0.2,0.8,20,7,4,W,0.167,0.0103,0.0103,0.8492,1.518,4.4451,3.1955,2.8062,1.1654,2.9486,2.925,1.2214,1.3075,1.7131,1.749,1.4216,1.8783,3.4835,3.1617,0.1392,-3,0.8129,1.9753,1.3012,-0.6778,0.0277,2.8304,2.2217,1.8582,2.4378,-1.9586,-2,-0.0659,0.1215,0.9036,1.9879,-2,1.2496,1.6364,1.6715,1.3129,1.2774,0.9612,0.9036,-0.2131,-1.6925,709.0644,2.8507,0
2,33.13,-88.13,240,251,27.2,5.9,159,78.23,-4,16.9417,1427.22,0.5,1,0.5,14.6962,16.9417,914.3371,785.2924,676.5928,27567.2003,19.7079,1398.7887,53.2276,129.0446,56.0934,0.6406,0,80.77,21.3,1.3369,49.2013,70.4986,7.748,25.1894,45.7335,21.1791,174.52,1.1643,7.0854,1.3514,9.0185,26,10,0,3,7,7,101.3841,0.001,0.3,0.7,30,7,4,W,0.1538,0.0102,0.0102,0.8492,1.5204,4.4404,3.1458,2.3802,1.1672,2.9611,2.895,1.229,1.3284,1.7155,1.7474,1.4346,1.8721,3.4837,3.1545,0.1261,-3,0.8129,1.9073,1.4773,-0.5086,0.0698,2.8303,2.2014,1.8934,2.3997,-1.9586,-2,-0.0659,0.134,0.8457,2.006,-2,1.2946,1.692,2.1108,1.3259,0.851,0.9556,0.8457,-0.1934,-1.6946,555.1485,2.7444,0
3,31.3,-86.52,250,92,27.3,9.1,182.88,78.23,-4,18.6667,1572.01,0.5,1,4.5,15.2824,18.6667,984.1896,976.0731,678.4233,29328.58,14.6134,2006.9691,55.9993,8.1164,59.7263,0.6261,0,104.65,18.2,1.396,42.7767,74.8271,6.7896,26.5206,36.3729,20.2446,174.52,1.0083,121.2594,1.4507,9.6183,24,12,0,1,11,11,102.3247,0.001,0.0833,0.9167,8.3333,8,4,W,0.1821,0.011,0.011,1.019,1.4957,4.4673,3.3025,2.3979,1.1842,2.9931,2.9895,1.2711,1.2601,1.7297,1.7716,1.4362,1.8967,3.4824,3.1965,0.1449,-3,1.0212,2.0197,0.9213,-1.0301,0.0079,2.8315,2.2622,1.8934,1.9638,-1.9586,-2,0.0124,0.1646,1.0418,2.01,-2,1.1648,1.6312,0.9099,1.3063,2.0838,0.9835,1.0418,-0.2034,-1.6778,717.8522,2.856,0
4,33.65,-85.85,594,381,26.7,6.3,159.51,72.9,-4,16.9,1319.03,0.5,1,0.5,14.7042,16.9,905.6278,785.0826,577.6548,25667.3819,18.3579,1398.1684,54.3266,120.5452,45.6481,0.6866,0,86.61,20.4,1.4512,45.7025,71.5481,7.4603,23.7322,44.1439,21.5906,174.52,1.1535,7.5128,1.5678,9.8435,26,10,0,3,7,7,92.0022,0.001,0.3,0.7,30,7,4,W,0.2054,0.0115,0.0115,0.8492,1.5271,4.4094,3.1456,2.7738,1.1674,2.9569,2.8949,1.2279,1.3096,1.7152,1.7505,1.4265,1.8782,3.4835,3.1203,0.1617,-3,0.8129,1.9376,1.4773,-0.5086,0.0658,2.7617,2.2028,1.8627,2.5809,-1.9586,-2,-0.0659,0.1981,0.8457,1.9638,-2,1.2638,1.6599,2.0812,1.3343,0.8764,0.9936,0.8457,-0.1633,-1.6676,692.3708,2.8403,0
5,33.23,-85.82,1010,311,25.8,5.9,183.64,86.36,-4,16.425,1509.01,0.5,1,0.5,14.5305,16.425,872.3506,836.266,762.7346,30918.6685,19.9126,1552.7151,55.1922,36.0845,72.9821,0.5781,0,97.28,19.9,1.4603,47.0268,71.8927,7.1996,26.9167,43.8334,21.4048,174.52,1.0431,24.1752,1.1437,8.3648,26,10,0,2,8,8,104.2889,0.001,0.2,0.8,20,7,3,W,0.1907,0.0106,0.0106,0.8492,1.5217,4.4902,3.1911,3.0043,1.1623,2.9407,2.9223,1.2155,1.2989,1.7112,1.7474,1.4116,1.8802,3.4834,3.1787,0.1644,-3,0.8129,1.988,1.3012,-0.6778,0.0225,2.8824,2.264,1.9363,2.4928,-1.9586,-2,-0.0659,0.0621,0.9036,2.0183,-2,1.2991,1.6723,1.5574,1.3305,1.3835,0.923,0.9036,-0.238,-1.6861,671.8528,2.8273,0
6,34.8,-86.98,720,446,25.8,3.4,164.08,78.99,-4,15.125,1480.82,0.5,1,0.5,14.1579,15.125,836.7802,786.9627,767.5604,38796.6166,27.6382,1403.731,52.4189,49.8175,76.9664,0.5651,0,85.09,22.4,1.3296,48.1412,68.3616,8.152,22.8137,53.8974,18.4873,174.52,1.0633,16.7969,1.0902,7.6643,28,9,0,1,8,8,109.1788,0.001,0.1111,0.8889,11.1111,7,3,W,0.1375,0.0092,0.0092,0.7642,1.5417,4.5888,3.1473,2.8573,1.151,2.9226,2.896,1.1797,1.3502,1.7001,1.7275,1.4116,1.8595,3.4849,3.1705,0.1237,-3,0.8129,1.9299,1.0461,-0.9169,0.0307,2.8851,2.2151,1.8976,2.6493,-1.9586,-2,-0.1111,0.0415,0.9036,2.0382,-2,1.4415,1.6825,1.6975,1.2669,1.2255,0.885,0.9036,-0.2479,-1.7167,576.8251,2.761,0
7,31.17,-87.43,300,47,26.9,8.7,193.29,68.07,-0.5,18.4917,1638.81,4,2,4.5,15.1603,18.4917,973.1282,956.9823,842.395,32231.4679,16.5951,1942.2292,56.303,16.1459,68.4064,0.5938,0,125.22,18.2,1.4153,35.2165,74.6871,6.7948,34.0628,36.7454,24.9421,174.52,1.0169,60.2709,1.1552,7.9358,26,12,0,2,10,12,122.6247,0.001,0.1667,1,16.6667,7,4,W,0.0029,0.0107,0.0107,1.019,1.4939,4.5083,3.2883,2.4771,1.1807,2.9882,2.9809,1.267,1.2601,1.7283,1.7686,1.4298,1.8959,3.4824,3.2145,0.1508,-3,1.0212,2.0977,1.2221,-0.7528,0.0115,2.9255,2.2862,1.833,1.6722,-1.9586,-2,0.0124,0.0664,1.0004,2.0886,-2,1.22,1.5467,1.2083,1.3969,1.7802,0.9001,1.0795,-0.2264,-1.684,379.6609,2.5794,0
8,32.6,-85.5,652,246,26.6,7.1,164.85,68.83,-4,17.4333,1336.8,0.5,1,0.5,14.8291,17.4333,924.8075,815.5189,552.7264,24569.4547,16.4974,1489.2942,55.2679,109.2886,44.549,0.6918,0,96.02,19.5,1.4798,41.7531,72.7654,7.1865,27.781,41.2229,24.938,174.52,1.134,8.4621,1.6732,11.7371,24,11,0,3,8,8,78.7933,0.001,0.2727,0.7273,27.2727,7,4,W,0.2184,0.0119,0.0119,0.9341,1.5134,4.3904,3.173,2.8142,1.1711,2.9661,2.9114,1.2414,1.29,1.7196,1.7566,1.4249,1.8852,3.483,3.1261,0.1702,-3,0.8129,1.9824,1.4359,-0.5487,0.0584,2.7425,2.2171,1.8378,2.391,-1.9586,-2,-0.025,0.2261,0.9036,1.8965,-2,1.2174,1.6207,2.0386,1.3969,0.928,1.0699,0.9036,-0.16,-1.6596,923.8737,2.9656,0
9,33.45,-87.35,280,295,25.8,4.9,171.7,93.47,-4,15.725,1536.7,0.5,1,0.5,14.3737,15.725,848.3643,812.2603,827.1402,39056.2633,26.3996,1479.4288,54.0939,36.104,81.1368,0.5521,0,78.23,20.9,1.3408,54.438,70.4802,7.6152,24.9526,48.4273,19.4853,174.52,1.0444,23.4978,1.0257,7.7333,28,9,0,2,7,7,109.7025,0.001,0.2222,0.7778,22.2222,7,3,W,0.1432,0.0094,0.0094,0.7642,1.5245,4.5917,3.1701,2.4472,1.1576,2.9286,2.9097,1.1966,1.3201,1.7052,1.7396,1.4116,1.872,3.4841,3.1866,0.1274,-3,0.8129,1.8934,1.347,-0.6341,0.023,2.9176,2.2348,1.9707,2.4698,-1.9586,-2,-0.1111,0.0152,0.8457,2.0403,-2,1.4216,1.7359,1.5577,1.2897,1.3712,0.8889,0.8457,-0.258,-1.7122,546.3719,2.7375,0
10,30.88,-87.78,271,16,26.7,9.1,210.06,78.23,0.1,18.525,1718.06,4.6,2,4.5,15.2188,18.525,969.4687,969.4687,749.5659,41942.2717,21.1352,1984.4771,56.9858,0,77.2167,0.5643,0,131.83,17.6,1.4672,37.2417,75.4533,6.5778,31.1495,35.5077,21.7567,174.52,1,969.4687,1.2934,7.3491,30,12,0,0,12,12,131.9171,0.001,0,1,0,8,4,W,0.0001,0.0109,0.0109,1.019,1.4898,4.6227,3.2976,2.433,1.1824,2.9865,2.9865,1.2678,1.2455,1.7286,1.7716,1.4265,1.9001,3.4822,3.235,0.1665,-3,1.0212,2.12,-2,-2,0.0043,2.8748,2.3223,1.8934,1.2044,-1.9586,-2,0.0124,0.1151,1.0795,2.1203,-2,1.325,1.571,-2,1.3376,2.9865,0.8668,1.0795,-0.2485,-1.6799,714.9198,2.8543,0
