Session ended on Monday, Sep 8 2003 01:30:15 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:13.1,1,133,000000133,A,4,M
1,00:02.7,1,181,000000181,A,4,M
Question,Answer,All,Low CL,Medium CL,High CL,%,%L,%M,%H
1,1,0,0,0,0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.0,0.0,0.0,0.0
1,3,0,0,0,0,0.0,0.0,0.0,0.0
1,4,2,0,2,0,100.0,0.0,100.0,0.0
1,5,0,0,0,0,0.0,0.0,0.0,0.0
1,6,0,0,0,0,0.0,0.0,0.0,0.0
1,7,0,0,0,0,0.0,0.0,0.0,0.0
1,8,0,0,0,0,0.0,0.0,0.0,0.0
1,9,0,0,0,0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0.0,0.0,0.0,0.0
