Session ended on Wednesday, Sep 10 2003 01:29:05 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,01:51.8,1,109,000000109,A,2,M
1,00:43.6,2,118,000000118,A,5,M
1,02:14.3,1,179,000000179,A,5,M
1,00:44.8,2,303,000000303,A,3,M
1,01:00.3,1,309,000000309,A,4,M
Question,Answer,All,Low CL,Medium CL,High CL,%,%L,%M,%H
1,1,0,0,0,0,0.0,0.0,0.0,0.0
1,2,1,0,1,0,20.0,0.0,20.0,0.0
1,3,1,0,1,0,20.0,0.0,20.0,0.0
1,4,1,0,1,0,20.0,0.0,20.0,0.0
1,5,2,0,2,0,40.0,0.0,40.0,0.0
1,6,0,0,0,0,0.0,0.0,0.0,0.0
1,7,0,0,0,0,0.0,0.0,0.0,0.0
1,8,0,0,0,0,0.0,0.0,0.0,0.0
1,9,0,0,0,0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0.0,0.0,0.0,0.0
2,1,0,0,0,0,0.0,0.0,0.0,0.0
2,2,24,0,23,1,13.6,0.0,13.1,0.6
2,3,128,1,125,2,72.7,0.6,71.0,1.1
2,4,18,0,17,1,10.2,0.0,9.7,0.6
2,5,5,0,4,1,2.8,0.0,2.3,0.6
2,6,0,0,0,0,0.0,0.0,0.0,0.0
2,7,0,0,0,0,0.0,0.0,0.0,0.0
2,8,0,0,0,0,0.0,0.0,0.0,0.0
2,9,1,0,1,0,0.6,0.0,0.6,0.0
2,0,0,0,0,0,0.0,0.0,0.0,0.0
