Session ended on Wednesday, Sep 17 2003 01:22:07 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:27.0,1,101,000000101,A,1,M
1,00:18.6,1,102,000000102,A,1,M
1,00:58.4,1,103,000000103,A,1,H
1,00:16.2,1,104,000000104,A,1,M
1,00:17.4,1,105,000000105,A,2,M
1,00:32.6,1,106,000000106,A,1,M
1,00:22.6,1,108,000000108,A,1,M
1,00:21.5,1,110,000000110,A,2,M
1,00:55.1,3,114,000000114,A,2,M
1,00:14.6,1,115,000000115,A,2,M
1,01:34.9,1,116,000000116,A,1,M
1,02:09.5,1,117,000000117,A,1,M
1,00:03.6,1,118,000000118,A,2,M
1,00:21.0,1,122,000000122,A,2,M
1,00:24.5,1,123,000000123,A,1,M
1,00:40.6,1,124,000000124,A,1,M
1,00:28.0,1,125,000000125,A,1,M
1,00:03.8,1,126,000000126,A,1,M
1,00:15.2,1,127,000000127,A,1,M
1,00:21.9,1,128,000000128,A,2,M
1,01:41.9,1,129,000000129,A,4,M
1,00:10.0,1,132,000000132,A,1,M
1,00:09.5,1,133,000000133,A,4,M
1,00:24.2,1,134,000000134,A,1,M
1,00:06.6,1,136,000000136,A,1,M
1,00:19.0,1,137,000000137,A,1,M
1,00:33.9,1,138,000000138,A,1,M
1,00:20.3,1,139,000000139,A,1,M
1,00:28.3,1,140,000000140,A,1,M
1,01:08.4,1,141,000000141,A,2,M
1,00:04.4,1,142,000000142,A,2,M
1,00:30.1,1,143,000000143,A,1,M
1,01:00.7,1,144,000000144,A,1,M
1,00:08.6,1,146,000000146,A,1,M
1,00:37.4,2,147,000000147,A,1,M
1,00:58.9,1,148,000000148,A,2,M
1,00:35.6,1,149,000000149,A,2,M
1,01:02.4,1,150,000000150,A,1,H
1,00:19.6,1,151,000000151,A,1,M
1,00:24.4,1,152,000000152,A,1,M
1,01:18.6,1,153,000000153,A,2,H
1,00:17.8,1,155,000000155,A,1,H
1,00:30.2,1,156,000000156,A,2,M
1,00:42.6,1,157,000000157,A,1,M
1,00:06.3,1,158,000000158,A,3,M
1,01:06.4,1,159,000000159,A,1,M
1,00:31.5,1,160,000000160,A,1,M
1,02:15.9,2,161,000000161,A,2,M
1,01:22.8,1,162,000000162,A,4,M
1,00:45.6,4,163,000000163,A,1,M
1,00:26.1,1,164,000000164,A,1,M
1,00:14.4,1,165,000000165,A,3,M
1,01:26.7,1,166,000000166,A,1,M
1,01:07.0,1,167,000000167,A,1,M
1,00:05.4,1,169,000000169,A,1,M
1,01:21.8,2,170,000000170,A,1,M
1,00:05.6,1,171,000000171,A,1,M
1,01:12.8,1,173,000000173,A,2,M
1,00:06.4,1,175,000000175,A,1,M
1,00:51.9,1,176,000000176,A,1,M
1,00:01.4,1,177,000000177,A,1,M
1,00:00.3,1,179,000000179,A,1,M
1,00:56.5,1,180,000000180,A,1,M
1,00:12.6,1,181,000000181,A,2,M
1,00:24.8,1,182,000000182,A,1,M
1,00:25.3,1,183,000000183,A,3,M
1,00:05.5,1,184,000000184,A,1,M
1,00:06.9,1,185,000000185,A,1,M
1,00:19.0,1,186,000000186,A,1,M
1,00:02.9,1,187,000000187,A,1,M
1,00:30.5,2,188,000000188,A,1,M
1,01:03.4,1,189,000000189,A,1,M
1,00:18.0,1,190,000000190,A,1,M
1,00:00.0,1,191,000000191,A,1,M
1,01:01.9,1,192,000000192,A,4,M
1,00:32.6,1,194,000000194,A,1,M
1,00:01.7,1,195,000000195,A,1,M
1,00:44.5,1,196,000000196,A,4,M
1,00:36.3,3,197,000000197,A,1,M
1,00:40.4,1,198,000000198,A,1,M
1,00:22.4,1,199,000000199,A,1,M
1,00:30.9,1,200,000000200,A,1,M
1,00:36.2,1,224,000000224,A,1,M
1,00:57.0,1,232,000000232,A,1,M
1,00:35.2,1,233,000000233,A,1,M
1,00:54.5,1,234,000000234,A,2,M
1,01:10.3,1,235,000000235,A,1,M
1,00:49.3,1,236,000000236,A,1,M
1,00:04.0,1,237,000000237,A,1,M
1,01:09.0,2,238,000000238,A,3,M
1,00:10.3,1,239,000000239,A,2,M
1,00:11.8,1,240,000000240,A,3,M
1,00:49.5,1,242,000000242,A,2,M
1,00:57.4,1,243,000000243,A,1,M
1,00:20.5,1,244,000000244,A,1,M
1,00:26.0,1,246,000000246,A,1,M
1,00:38.5,1,247,000000247,A,1,M
1,00:28.7,1,248,000000248,A,2,M
1,01:16.6,1,249,000000249,A,1,M
1,00:37.2,1,250,000000250,A,1,M
1,00:07.0,1,251,000000251,A,1,M
1,00:33.5,3,252,000000252,A,1,M
1,01:22.2,1,254,000000254,A,1,M
1,01:17.6,1,255,000000255,A,2,M
1,00:02.1,1,256,000000256,A,4,M
1,00:19.8,1,257,000000257,A,1,M
1,00:20.0,1,258,000000258,A,4,M
1,00:26.9,1,259,000000259,A,1,M
1,01:05.5,1,260,000000260,A,1,M
1,00:03.3,1,262,000000262,A,4,M
1,00:46.7,1,263,000000263,A,1,M
1,01:00.5,13,264,000000264,A,2,M
1,00:58.6,1,265,000000265,A,1,M
1,00:02.7,1,266,000000266,A,1,M
1,01:16.9,1,267,000000267,A,2,M
1,01:39.8,1,268,000000268,A,2,M
1,00:40.7,1,269,000000269,A,1,M
1,00:10.2,1,271,000000271,A,2,M
1,01:02.5,1,272,000000272,A,1,H
1,00:04.5,1,273,000000273,A,1,M
1,00:20.0,1,274,000000274,A,1,M
1,00:19.7,1,275,000000275,A,1,M
1,00:13.3,1,276,000000276,A,1,M
1,00:28.3,1,277,000000277,A,1,M
1,00:28.9,1,278,000000278,A,2,M
1,00:14.1,4,279,000000279,A,1,M
1,00:17.6,1,280,000000280,A,4,M
1,00:07.5,1,281,000000281,A,1,M
1,00:26.2,1,282,000000282,A,1,M
1,00:33.7,1,283,000000283,A,2,M
1,00:33.1,1,284,000000284,A,1,M
1,00:40.8,3,285,000000285,A,1,M
1,01:07.2,1,286,000000286,A,1,M
1,00:12.0,1,287,000000287,A,1,M
1,00:07.5,1,288,000000288,A,1,M
1,00:29.1,1,290,000000290,A,1,M
1,00:50.1,1,295,000000295,A,2,M
1,00:39.0,1,296,000000296,A,1,M
1,00:23.3,1,297,000000297,A,2,M
1,00:17.2,1,298,000000298,A,2,M
1,01:01.1,1,300,000000300,A,1,M
1,00:37.7,1,301,000000301,A,3,M
1,00:22.8,3,302,000000302,A,2,M
1,01:35.5,1,303,000000303,A,1,M
1,00:19.5,1,304,000000304,A,1,M
1,00:31.6,1,305,000000305,A,1,M
1,00:31.0,1,306,000000306,A,2,M
1,00:13.9,1,307,000000307,A,1,M
1,00:34.5,1,308,000000308,A,1,M
1,00:35.0,1,309,000000309,A,1,M
1,00:11.7,2,310,000000310,A,1,M
1,01:06.6,1,311,000000311,A,2,M
1,00:43.8,2,315,000000315,A,4,M
1,00:09.5,1,316,000000316,A,1,M
1,01:30.7,1,317,000000317,A,1,M
1,00:46.6,1,319,000000319,A,2,M
1,00:15.2,1,320,000000320,A,1,M
1,00:16.8,1,322,000000322,A,1,M
1,00:14.6,3,323,000000323,A,1,M
1,00:18.7,2,324,000000324,A,1,M
1,00:25.1,1,326,000000326,A,2,M
1,00:10.8,1,327,000000327,A,1,M
1,01:05.3,1,328,000000328,A,2,M
1,00:51.3,1,329,000000329,A,1,M
1,01:09.9,3,330,000000330,A,1,M
1,00:58.7,1,331,000000331,A,1,M
1,00:00.2,1,334,000000334,A,2,M
1,00:10.7,1,335,000000335,A,1,M
1,01:53.7,1,336,000000336,A,2,M
1,01:07.4,2,337,000000337,A,1,M
1,00:22.6,1,338,000000338,A,2,M
1,00:10.1,1,339,000000339,A,1,M
1,01:36.3,1,340,000000340,A,1,H
1,00:27.5,3,342,000000342,A,2,M
1,00:23.3,1,343,000000343,A,1,M
1,00:11.0,1,344,000000344,A,2,M
1,00:11.2,1,345,000000345,A,1,M
1,00:37.2,1,346,000000346,A,1,M
1,00:35.0,3,348,000000348,A,1,M
1,00:02.5,1,349,000000349,A,2,M
1,00:17.1,1,350,000000350,A,1,M
1,00:04.2,1,352,000000352,A,1,M
1,00:48.1,1,353,000000353,A,1,M
1,00:21.6,1,354,000000354,A,2,M
1,00:59.8,1,355,000000355,A,1,M
Question,Answer,All,Low CL,Medium CL,High CL,%,%L,%M,%H
1,1,126,0,121,5,68.1,0.0,65.4,2.7
1,2,43,0,42,1,23.2,0.0,22.7,0.5
1,3,6,0,6,0,3.2,0.0,3.2,0.0
1,4,10,0,10,0,5.4,0.0,5.4,0.0
1,5,0,0,0,0,0.0,0.0,0.0,0.0
1,6,0,0,0,0,0.0,0.0,0.0,0.0
1,7,0,0,0,0,0.0,0.0,0.0,0.0
1,8,0,0,0,0,0.0,0.0,0.0,0.0
1,9,0,0,0,0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0.0,0.0,0.0,0.0
