Session ended on Friday, Sep 26 2003 01:22:09 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:27.7,1,101,000000101,A,4,M
1,00:50.6,3,102,000000102,A,4,M
1,01:07.4,1,103,000000103,A,2,M
1,01:23.9,1,104,000000104,A,4,M
1,01:14.6,1,105,000000105,A,4,M
1,01:28.6,1,106,000000106,A,4,M
1,01:18.0,1,108,000000108,A,4,M
1,00:22.7,1,109,000000109,A,4,H
1,01:01.5,1,110,000000110,A,1,M
1,01:14.2,1,111,000000111,A,2,M
1,00:28.2,2,114,000000114,A,2,M
1,01:12.0,1,117,000000117,A,4,M
1,01:23.8,1,118,000000118,A,3,M
1,00:39.6,1,121,000000121,A,4,M
1,01:54.4,1,123,000000123,A,1,M
1,01:16.8,1,124,000000124,A,4,M
1,01:47.5,1,125,000000125,A,4,M
1,01:49.9,1,126,000000126,A,1,M
1,01:36.0,1,127,000000127,A,4,M
1,01:05.8,1,128,000000128,A,4,M
1,00:33.8,1,129,000000129,A,5,M
1,01:36.3,1,131,000000131,A,4,M
1,00:23.7,1,132,000000132,A,4,M
1,02:12.2,1,135,000000135,A,4,M
1,00:40.8,1,136,000000136,A,4,M
1,01:17.3,2,137,000000137,A,4,M
1,00:47.8,1,138,000000138,A,2,M
1,00:52.2,1,139,000000139,A,4,M
1,00:46.1,1,140,000000140,A,4,M
1,01:02.9,1,141,000000141,A,4,M
1,01:05.5,1,142,000000142,A,2,M
1,01:07.8,1,143,000000143,A,8,M
1,00:48.4,1,144,000000144,A,5,M
1,01:25.8,1,145,000000145,A,4,M
1,00:31.1,1,146,000000146,A,4,M
1,01:42.6,2,147,000000147,A,1,M
1,01:57.5,2,148,000000148,A,2,M
1,00:45.1,1,149,000000149,A,2,M
1,00:31.4,1,150,000000150,A,4,H
1,00:21.6,1,151,000000151,A,4,M
1,00:27.3,1,152,000000152,A,4,M
1,01:36.3,1,153,000000153,A,4,H
1,00:28.9,1,154,000000154,A,4,H
1,01:14.2,1,155,000000155,A,3,H
1,00:42.8,1,156,000000156,A,4,M
1,01:09.0,1,159,000000159,A,4,M
1,01:27.6,1,160,000000160,A,2,M
1,00:52.9,1,161,000000161,A,4,M
1,01:18.0,1,162,000000162,A,4,M
