Session ended on Monday, Sep 29 2003 01:24:52 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:09.4,1,101,000000101,A,3,M
1,00:18.4,1,102,000000102,A,3,M
1,00:56.0,1,103,000000103,A,3,M
1,00:19.8,1,104,000000104,A,3,M
1,00:48.9,1,105,000000105,A,3,M
1,00:26.9,1,106,000000106,A,3,M
1,01:13.9,1,108,000000108,A,3,M
1,00:24.6,1,109,000000109,A,3,M
1,00:32.6,1,110,000000110,A,3,M
1,01:30.5,1,111,000000111,A,3,M
1,00:46.1,2,114,000000114,A,1,H
1,00:06.6,2,115,000000115,A,3,M
1,01:58.4,1,116,000000116,A,3,M
1,00:19.3,1,117,000000117,A,3,M
1,00:42.0,1,118,000000118,A,1,M
1,00:39.7,1,120,000000120,A,3,M
1,00:56.4,2,121,000000121,A,3,M
1,00:03.2,2,122,000000122,A,3,M
1,00:37.0,1,123,000000123,A,3,M
1,01:35.8,1,124,000000124,A,3,M
1,00:11.2,1,125,000000125,A,3,M
1,00:04.3,1,126,000000126,A,3,M
1,00:19.7,1,127,000000127,A,3,M
1,00:49.5,1,129,000000129,A,5,M
1,00:42.1,1,131,000000131,A,3,M
1,00:03.7,1,132,000000132,A,3,M
1,00:12.7,2,133,000000133,A,3,M
1,00:33.4,1,134,000000134,A,3,M
1,01:09.8,1,135,000000135,A,3,M
1,00:28.6,2,136,000000136,A,3,M
1,00:36.1,1,137,000000137,A,2,M
1,00:18.2,1,138,000000138,A,4,M
1,00:43.1,1,139,000000139,A,3,M
1,00:35.0,1,140,000000140,A,1,M
1,00:40.1,1,141,000000141,A,3,M
1,00:20.7,1,142,000000142,A,3,M
1,00:20.1,1,143,000000143,A,3,M
1,00:37.7,1,144,000000144,A,1,M
1,01:12.2,1,145,000000145,A,3,M
1,00:07.2,1,146,000000146,A,3,M
1,01:00.5,1,148,000000148,A,1,M
1,01:11.2,1,149,000000149,A,3,M
1,00:16.5,1,150,000000150,A,3,H
1,00:39.7,1,151,000000151,A,3,M
1,00:16.5,1,152,000000152,A,3,M
1,01:07.8,1,153,000000153,A,1,H
1,00:43.6,1,154,000000154,A,3,H
1,01:03.7,1,156,000000156,A,3,M
1,00:03.6,1,158,000000158,A,3,M
1,00:19.3,1,159,000000159,A,1,M
1,00:11.4,1,160,000000160,A,3,M
1,00:46.0,1,161,000000161,A,5,M
1,01:35.6,1,162,000000162,A,3,M
1,01:50.8,6,163,000000163,A,1,M
1,00:23.7,1,164,000000164,A,3,M
1,00:37.2,1,166,000000166,A,1,M
1,01:36.9,1,167,000000167,A,3,M
1,00:12.6,2,168,000000168,A,4,M
1,00:15.7,1,169,000000169,A,1,M
1,00:36.3,3,170,000000170,A,3,M
1,00:14.1,1,172,000000172,A,1,M
1,00:57.4,1,173,000000173,A,1,M
1,01:27.3,1,174,000000174,A,3,M
1,00:57.6,1,175,000000175,A,1,M
1,00:34.0,1,176,000000176,A,3,M
1,00:17.4,1,177,000000177,A,3,M
1,00:28.3,1,178,000000178,A,3,M
1,01:01.5,1,179,000000179,A,3,M
1,00:19.1,2,180,000000180,A,3,M
1,00:03.0,1,181,000000181,A,3,M
1,00:02.4,1,182,000000182,A,3,M
1,00:19.8,1,183,000000183,A,1,M
1,00:11.6,1,184,000000184,A,3,M
1,00:00.7,1,185,000000185,A,1,M
1,00:10.3,1,187,000000187,A,3,M
1,00:56.1,1,188,000000188,A,1,M
1,00:55.3,1,189,000000189,A,3,M
1,00:04.6,1,190,000000190,A,3,M
1,01:20.6,1,191,000000191,A,1,M
1,00:27.1,1,192,000000192,A,5,M
1,00:14.5,1,193,000000193,A,2,M
1,00:34.6,1,194,000000194,A,3,M
1,00:08.4,1,195,000000195,A,3,M
1,00:03.3,1,196,000000196,A,3,M
1,00:48.3,1,197,000000197,A,3,M
1,00:59.5,1,198,000000198,A,3,M
1,00:10.6,1,199,000000199,A,3,M
1,00:25.8,1,200,000000200,A,3,M
1,00:30.8,3,223,000000223,A,3,M
1,00:06.9,1,224,000000224,A,3,M
1,01:00.7,1,232,000000232,A,2,M
1,01:09.5,1,235,000000235,A,3,M
1,01:13.5,1,236,000000236,A,3,M
1,00:07.5,2,237,000000237,A,3,M
1,00:09.8,1,238,000000238,A,2,M
1,00:13.1,1,239,000000239,A,3,M
1,00:46.9,2,240,000000240,A,3,M
1,00:29.9,1,241,000000241,A,2,M
1,01:10.0,1,242,000000242,A,3,M
1,00:59.2,1,244,000000244,A,2,M
1,00:35.6,1,246,000000246,A,3,M
1,01:34.4,1,247,000000247,A,1,M
1,00:05.7,1,248,000000248,A,3,M
1,01:54.5,1,250,000000250,A,1,M
1,00:03.2,1,251,000000251,A,1,M
1,01:04.4,12,252,000000252,A,3,M
1,01:25.4,1,253,000000253,A,4,M
1,01:17.6,2,254,000000254,A,3,M
1,01:34.5,1,255,000000255,A,3,M
1,00:07.2,1,257,000000257,A,3,M
1,00:34.2,1,258,000000258,A,2,M
1,00:24.2,3,259,000000259,A,3,M
1,00:23.4,1,262,000000262,A,3,M
1,01:15.2,1,263,000000263,A,3,M
1,00:42.6,1,264,000000264,A,4,M
