Session ended on Wednesday, Oct 8 2003 01:20:30 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:50.5,1,101,000000101,A,2,M
1,00:31.7,1,102,000000102,A,2,M
1,00:19.4,1,103,000000103,A,2,M
1,00:38.6,1,104,000000104,A,4,M
1,00:09.2,1,105,000000105,A,2,M
1,00:29.1,1,106,000000106,A,2,M
1,00:31.7,1,109,000000109,A,2,M
1,00:37.8,1,111,000000111,A,2,M
1,00:33.1,2,114,000000114,A,2,H
1,00:30.4,1,115,000000115,A,2,M
1,01:47.8,1,116,000000116,A,2,M
1,00:32.2,1,118,000000118,A,2,M
1,00:25.6,1,119,000000119,A,3,M
1,00:37.4,1,120,000000120,A,2,M
1,00:46.1,2,121,000000121,A,2,M
1,00:19.1,1,122,000000122,A,5,M
1,00:42.8,1,123,000000123,A,2,M
1,00:21.7,1,124,000000124,A,2,M
1,00:35.2,1,125,000000125,A,2,M
1,00:44.1,1,126,000000126,A,2,M
1,00:09.9,1,127,000000127,A,2,M
1,00:22.0,1,130,000000130,A,2,M
1,00:17.7,1,131,000000131,A,4,M
1,00:08.5,1,132,000000132,A,4,M
1,01:38.2,3,133,000000133,A,3,M
1,00:39.3,1,134,000000134,A,2,M
1,00:36.9,1,135,000000135,A,4,M
1,00:37.0,1,136,000000136,A,4,M
1,00:16.3,1,137,000000137,A,2,M
1,00:43.5,2,139,000000139,A,2,M
1,00:41.4,1,140,000000140,A,2,M
1,01:13.5,2,141,000000141,A,0,M
1,00:44.7,1,142,000000142,A,4,M
1,00:38.2,1,143,000000143,A,2,M
1,00:23.6,1,145,000000145,A,2,M
1,00:28.3,1,146,000000146,A,2,M
1,00:19.3,1,147,000000147,A,2,M
1,01:06.2,1,148,000000148,A,4,M
1,00:24.6,1,149,000000149,A,2,M
1,00:33.1,1,150,000000150,A,2,M
1,01:26.3,1,151,000000151,A,2,M
1,00:15.5,1,152,000000152,A,2,M
1,00:38.7,1,153,000000153,A,2,H
1,00:12.8,1,154,000000154,A,2,H
1,00:37.3,1,155,000000155,A,2,H
1,00:23.8,1,156,000000156,A,2,M
1,00:16.8,1,158,000000158,A,2,M
1,00:18.7,1,159,000000159,A,2,M
1,00:56.7,1,160,000000160,A,2,M
1,00:22.8,1,161,000000161,A,2,M
1,01:07.6,4,163,000000163,A,4,M
1,00:24.9,1,164,000000164,A,4,M
1,00:12.3,1,165,000000165,A,2,M
1,00:49.9,1,166,000000166,A,2,M
1,00:25.9,1,167,000000167,A,2,M
1,00:39.4,1,168,000000168,A,2,M
1,00:49.5,1,169,000000169,A,2,M
1,00:35.7,2,170,000000170,A,2,M
1,00:20.8,3,171,000000171,A,2,M
1,00:44.7,1,172,000000172,A,2,M
1,00:14.9,1,173,000000173,A,2,M
1,00:40.2,1,174,000000174,A,4,M
1,00:35.6,1,175,000000175,A,1,M
1,00:51.7,1,176,000000176,A,2,M
1,00:18.6,1,177,000000177,A,3,M
1,00:35.9,1,178,000000178,A,2,M
1,00:21.1,1,179,000000179,A,2,M
1,00:29.8,1,180,000000180,A,4,M
1,00:13.9,1,182,000000182,A,2,M
1,00:31.6,1,183,000000183,A,3,M
1,00:19.7,1,184,000000184,A,2,M
1,00:34.6,1,185,000000185,A,2,M
1,00:36.1,1,187,000000187,A,4,M
1,01:00.4,4,188,000000188,A,2,M
1,00:43.8,1,189,000000189,A,2,M
1,00:13.6,1,190,000000190,A,2,M
1,00:29.2,1,192,000000192,A,4,M
1,00:15.1,1,193,000000193,A,4,M
1,00:46.1,1,194,000000194,A,2,M
1,00:20.1,1,195,000000195,A,2,M
1,00:12.9,1,196,000000196,A,4,M
1,00:26.6,1,197,000000197,A,2,M
1,00:18.2,1,198,000000198,A,4,M
1,00:12.1,1,199,000000199,A,2,M
1,00:37.3,1,200,000000200,A,2,M
1,00:26.0,1,224,000000224,A,2,M
1,01:03.0,1,232,000000232,A,1,M
1,01:22.2,1,233,000000233,A,2,M
1,00:45.4,1,235,000000235,A,2,M
1,00:17.4,1,236,000000236,A,2,M
1,00:07.9,1,237,000000237,A,2,M
1,00:49.7,1,238,000000238,A,2,M
1,00:43.2,1,239,000000239,A,4,M
1,00:39.2,1,240,000000240,A,2,M
1,00:54.9,1,241,000000241,A,2,M
1,00:50.2,1,242,000000242,A,2,M
1,00:42.9,2,244,000000244,A,4,M
1,00:15.9,1,246,000000246,A,2,M
1,00:56.4,2,247,000000247,A,2,M
1,00:09.4,1,248,000000248,A,2,M
1,00:35.1,1,249,000000249,A,2,M
1,00:43.3,1,250,000000250,A,2,M
1,00:07.6,1,251,000000251,A,2,M
1,01:10.9,8,252,000000252,A,2,M
