Session ended on Monday, Oct 20 2003 01:23:05 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,01:03.5,1,101,000000101,A,1,M
1,00:01.3,1,102,000000102,A,3,M
1,00:16.7,1,104,000000104,A,1,M
1,00:17.2,1,105,000000105,A,1,M
1,02:01.3,1,106,000000106,A,4,M
1,00:24.7,1,108,000000108,A,1,M
1,00:00.6,1,109,000000109,A,1,M
1,00:40.9,1,110,000000110,A,1,M
1,01:07.8,1,111,000000111,A,1,M
1,00:31.7,1,114,000000114,A,3,M
1,00:04.5,1,115,000000115,A,1,M
1,02:00.8,1,116,000000116,A,4,M
1,01:12.6,1,117,000000117,A,3,M
1,01:16.8,2,118,000000118,A,4,M
1,01:34.8,1,120,000000120,A,4,M
1,01:02.5,1,122,000000122,A,1,M
1,01:02.8,1,123,000000123,A,1,M
1,01:29.9,1,124,000000124,A,4,M
1,01:20.0,1,125,000000125,A,1,M
1,01:27.8,2,126,000000126,A,4,M
1,01:07.6,1,127,000000127,A,4,M
1,01:16.4,1,129,000000129,A,5,M
1,00:45.8,1,130,000000130,A,2,M
1,00:16.4,1,131,000000131,A,4,M
1,02:17.1,2,134,000000134,A,4,M
1,01:53.5,1,135,000000135,A,1,M
1,00:47.7,1,136,000000136,A,1,M
1,00:54.6,1,137,000000137,A,2,M
1,02:08.9,1,138,000000138,A,4,M
1,01:15.6,1,139,000000139,A,3,M
1,01:06.9,1,140,000000140,A,1,M
1,01:34.5,1,141,000000141,A,3,M
1,00:09.1,1,142,000000142,A,1,M
1,00:22.2,1,143,000000143,A,1,M
1,00:18.8,1,145,000000145,A,1,M
1,01:09.6,1,146,000000146,A,1,M
1,01:38.6,3,147,000000147,A,2,M
1,02:17.6,1,148,000000148,A,3,M
1,00:28.9,1,149,000000149,A,1,M
1,00:24.5,1,151,000000151,A,1,M
1,01:08.9,1,153,000000153,A,4,M
1,01:00.3,1,154,000000154,A,2,H
1,01:24.1,1,155,000000155,A,1,M
1,02:03.7,1,156,000000156,A,1,M
1,01:15.4,1,157,000000157,A,1,M
1,00:14.9,1,158,000000158,A,3,M
1,00:49.5,1,159,000000159,A,1,M
1,00:39.9,1,160,000000160,A,1,M
1,00:41.4,1,161,000000161,A,1,M
1,01:48.7,3,162,000000162,A,1,M
1,01:25.5,3,163,000000163,A,2,M
1,00:44.7,1,164,000000164,A,1,M
1,00:02.0,1,165,000000165,A,2,M
1,00:37.8,1,166,000000166,A,4,M
1,01:14.1,1,167,000000167,A,2,M
1,00:01.6,1,168,000000168,A,1,M
1,00:26.4,1,169,000000169,A,4,M
1,02:09.7,4,170,000000170,A,1,M
1,01:11.6,1,171,000000171,A,1,M
1,01:13.1,2,173,000000173,A,3,M
