Session ended on Friday, Oct 24 2003 01:19:19 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:44.2,1,101,000000101,A,1,M
1,00:49.5,2,102,000000102,A,1,M
1,00:32.1,1,103,000000103,A,1,M
1,01:06.7,1,104,000000104,A,1,M
1,00:37.3,1,105,000000105,A,1,M
1,01:27.4,1,106,000000106,A,3,M
1,01:02.9,1,108,000000108,A,1,M
1,00:42.4,1,109,000000109,A,1,M
1,00:23.9,1,110,000000110,A,4,M
1,01:24.2,1,111,000000111,A,1,M
1,00:15.1,3,114,000000114,A,1,H
1,00:05.8,1,115,000000115,A,5,M
1,01:45.4,1,116,000000116,A,1,M
1,00:42.5,1,117,000000117,A,2,M
1,00:12.2,1,118,000000118,A,1,M
1,01:30.0,2,120,000000120,A,1,M
1,00:37.4,1,121,000000121,A,2,M
1,00:50.0,1,123,000000123,A,1,M
1,01:09.6,1,124,000000124,A,3,M
1,00:41.6,1,125,000000125,A,2,M
1,01:00.2,1,126,000000126,A,1,M
1,00:30.2,1,127,000000127,A,1,M
1,00:00.9,1,132,000000132,A,1,M
1,00:23.5,1,134,000000134,A,1,M
1,01:13.6,1,135,000000135,A,2,M
1,01:14.9,2,136,000000136,A,1,M
1,01:22.3,1,137,000000137,A,3,M
1,01:27.1,1,138,000000138,A,1,M
1,00:58.4,1,139,000000139,A,3,M
1,01:15.2,1,140,000000140,A,3,M
1,00:42.6,1,142,000000142,A,2,M
1,00:34.7,1,143,000000143,A,1,M
1,00:13.7,1,145,000000145,A,1,M
1,00:40.3,1,146,000000146,A,1,H
1,01:46.1,4,147,000000147,A,2,M
1,01:08.0,1,149,000000149,A,1,M
1,01:25.3,1,150,000000150,A,1,H
1,01:37.6,1,151,000000151,A,1,M
1,00:04.3,1,152,000000152,A,1,M
1,00:31.2,1,153,000000153,A,1,H
1,01:24.9,1,154,000000154,A,1,H
1,00:56.6,1,155,000000155,A,1,H
1,00:46.4,1,156,000000156,A,1,M
1,00:35.0,1,157,000000157,A,3,M
1,00:03.8,1,159,000000159,A,1,M
1,01:20.7,1,160,000000160,A,1,M
1,01:22.5,1,161,000000161,A,1,M
1,00:34.2,1,162,000000162,A,4,M
1,00:47.0,4,163,000000163,A,1,M
1,01:31.1,1,166,000000166,A,1,M
1,00:56.1,1,167,000000167,A,3,M
1,01:08.5,1,172,000000172,A,1,M
1,01:40.8,4,174,000000174,A,1,M
1,00:23.0,1,175,000000175,A,1,M
1,01:12.4,1,176,000000176,A,1,M
1,00:07.9,1,177,000000177,A,1,M
1,01:17.7,1,178,000000178,A,3,M
1,01:01.2,2,179,000000179,A,3,M
1,00:13.0,1,180,000000180,A,1,M
1,00:02.6,1,183,000000183,A,2,M
1,00:30.9,1,184,000000184,A,1,M
1,00:07.3,1,187,000000187,A,4,M
1,01:47.0,3,188,000000188,A,2,M
1,01:12.0,1,189,000000189,A,1,M
1,00:02.9,1,190,000000190,A,3,M
1,00:06.6,1,192,000000192,A,1,M
1,00:53.0,1,193,000000193,A,3,M
1,00:40.1,1,194,000000194,A,1,M
1,00:01.0,1,195,000000195,A,1,M
1,01:05.1,1,196,000000196,A,1,M
1,00:34.4,1,197,000000197,A,1,M
1,00:51.5,1,198,000000198,A,1,M
1,00:18.7,1,200,000000200,A,1,M
1,00:23.5,3,223,000000223,A,2,M
1,00:22.2,1,224,000000224,A,1,M
1,00:47.2,2,232,000000232,A,1,M
1,00:31.0,1,233,000000233,A,1,M
1,00:49.3,1,235,000000235,A,2,M
