Session ended on Friday, Nov 14 2003 01:20:24 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:20.3,1,101,000000101,A,4,M
1,00:54.4,2,102,000000102,A,4,M
1,00:13.1,1,104,000000104,A,4,M
1,01:31.6,1,105,000000105,A,4,M
1,00:55.8,1,106,000000106,A,4,M
1,00:19.7,1,109,000000109,A,4,M
1,00:04.0,1,110,000000110,A,2,M
1,01:45.4,1,111,000000111,A,4,M
1,00:19.6,1,114,000000114,A,4,M
1,00:00.3,1,116,000000116,A,4,M
1,00:22.1,1,117,000000117,A,4,M
1,00:02.7,1,118,000000118,A,4,M
1,00:08.4,1,120,000000120,A,5,M
1,00:01.3,1,122,000000122,A,5,M
1,01:19.4,1,123,000000123,A,2,M
1,00:56.0,1,125,000000125,A,3,M
1,01:26.5,1,126,000000126,A,4,M
1,00:40.0,1,127,000000127,A,4,M
1,01:48.6,1,131,000000131,A,4,M
1,00:10.8,1,132,000000132,A,1,M
1,01:01.3,1,134,000000134,A,4,M
1,00:28.9,1,135,000000135,A,4,M
1,00:16.4,1,136,000000136,A,5,M
1,00:53.0,1,137,000000137,A,4,M
1,00:14.0,1,141,000000141,A,2,M
1,00:02.7,1,142,000000142,A,4,M
1,00:03.3,1,143,000000143,A,4,M
1,00:51.8,1,145,000000145,A,4,M
1,00:24.7,1,146,000000146,A,4,H
1,00:41.2,2,147,000000147,A,4,M
1,01:50.7,1,148,000000148,A,2,M
1,01:23.6,1,149,000000149,A,4,M
1,00:10.3,1,150,000000150,A,2,H
1,00:02.9,1,152,000000152,A,4,M
1,01:18.9,1,153,000000153,A,2,H
1,00:08.8,1,154,000000154,A,2,H
1,00:07.9,1,155,000000155,A,4,M
1,01:04.9,1,156,000000156,A,4,M
1,00:47.4,1,160,000000160,A,4,M
1,00:28.0,1,162,000000162,A,3,M
1,00:25.9,1,164,000000164,A,4,M
1,00:01.1,1,165,000000165,A,4,M
1,00:17.1,1,166,000000166,A,4,M
1,00:13.8,1,168,000000168,A,2,M
1,00:11.7,1,169,000000169,A,1,M
1,00:47.0,1,172,000000172,A,3,M
1,00:10.9,1,175,000000175,A,4,M
1,00:39.6,1,176,000000176,A,4,M
1,00:09.4,1,177,000000177,A,2,M
1,01:12.2,1,178,000000178,A,4,M
1,00:08.1,1,180,000000180,A,4,M
1,01:13.2,1,184,000000184,A,4,M
1,00:05.8,1,185,000000185,A,1,M
1,00:12.9,1,187,000000187,A,3,M
1,01:29.9,2,188,000000188,A,8,M
1,00:23.3,1,189,000000189,A,2,M
1,00:00.3,1,190,000000190,A,3,M
1,00:09.4,1,191,000000191,A,2,M
1,01:01.4,1,193,000000193,A,4,M
1,00:12.4,1,194,000000194,A,4,M
1,00:01.6,1,195,000000195,A,4,M
1,00:42.7,2,197,000000197,A,4,M
1,00:33.1,1,199,000000199,A,4,M
1,00:02.1,1,200,000000200,A,4,M
1,00:05.6,1,223,000000223,A,2,M
1,00:13.6,1,224,000000224,A,4,M
1,00:27.1,1,229,000000229,A,3,M
1,00:48.6,8,232,000000232,A,2,M
1,00:20.6,1,233,000000233,A,4,M
1,00:43.8,1,239,000000239,A,4,M
1,00:00.2,1,240,000000240,A,4,M
1,01:39.6,1,242,000000242,A,5,M
1,01:03.3,1,244,000000244,A,4,M
1,01:06.3,1,246,000000246,A,4,M
1,00:06.9,1,247,000000247,A,4,M
1,00:01.6,1,250,000000250,A,4,M
1,00:32.7,6,251,000000251,A,1,M
1,01:46.8,1,253,000000253,A,5,M
1,01:45.2,1,254,000000254,A,5,M
1,00:34.4,1,256,000000256,A,4,M
1,01:43.1,1,257,000000257,A,2,M
1,00:12.4,1,258,000000258,A,2,M
1,01:10.5,3,259,000000259,A,4,M
1,00:16.7,1,260,000000260,A,3,M
1,00:34.3,1,262,000000262,A,4,M
1,01:38.9,1,263,000000263,A,3,M
1,01:06.3,1,265,000000265,A,4,M
1,00:59.8,1,266,000000266,A,3,M
1,00:55.9,1,267,000000267,A,2,M
1,01:31.5,1,268,000000268,A,2,M
1,01:11.6,1,269,000000269,A,2,M
1,00:53.9,1,270,000000270,A,4,M
1,00:01.7,2,273,000000273,A,1,M
1,00:32.4,1,274,000000274,A,4,M
1,01:29.4,1,275,000000275,A,4,M
1,00:17.3,2,277,000000277,A,4,M
1,00:25.6,1,279,000000279,A,4,M
1,00:30.4,1,280,000000280,A,4,M
1,00:08.5,2,281,000000281,A,4,M
1,00:18.3,1,282,000000282,A,3,M
1,00:28.8,1,283,000000283,A,4,M
1,01:25.8,1,285,000000285,A,4,M
1,00:44.7,1,286,000000286,A,4,M
1,00:03.4,1,287,000000287,A,3,M
1,00:30.7,1,288,000000288,A,2,M
1,00:44.9,1,289,000000289,A,4,M
1,00:29.2,2,290,000000290,A,4,M
1,00:21.6,1,295,000000295,A,5,M
1,00:02.3,1,296,000000296,A,4,M
1,01:32.9,1,297,000000297,A,2,M
1,00:04.9,1,298,000000298,A,2,M
1,00:49.2,1,300,000000300,A,4,M
1,01:09.6,1,301,000000301,A,2,M
1,00:31.7,3,302,000000302,A,1,M
1,00:14.4,1,303,000000303,A,3,M
1,00:38.3,2,304,000000304,A,4,M
1,00:05.6,1,306,000000306,A,4,M
1,00:31.8,1,307,000000307,A,4,M
1,00:21.4,1,308,000000308,A,4,M
1,00:24.9,1,309,000000309,A,4,M
1,00:15.1,2,310,000000310,A,4,M
1,01:54.1,1,311,000000311,A,2,M
1,00:00.8,1,312,000000312,A,4,M
1,00:19.5,1,314,000000314,A,4,M
1,01:03.7,1,316,000000316,A,3,M
1,01:46.8,1,317,000000317,A,3,M
1,00:05.3,1,318,000000318,A,3,M
1,01:57.1,2,319,000000319,A,2,M
1,00:31.1,2,320,000000320,A,4,M
1,00:01.5,1,322,000000322,A,4,M
1,01:48.6,2,323,000000323,A,2,M
1,01:01.7,3,324,000000324,A,4,M
1,00:44.2,1,328,000000328,A,3,M
1,00:43.7,1,329,000000329,A,4,M
1,00:04.8,1,331,000000331,A,4,M
1,01:14.3,1,335,000000335,A,4,M
1,00:16.2,1,337,000000337,A,4,M
1,01:04.1,1,340,000000340,A,4,M
1,00:56.4,1,342,000000342,A,4,M
1,00:23.7,1,343,000000343,A,4,M
1,00:17.8,1,344,000000344,A,2,M
1,00:13.5,1,345,000000345,A,4,M
1,01:18.3,2,346,000000346,A,4,M
1,00:50.7,1,347,000000347,A,4,M
1,00:17.7,3,348,000000348,A,1,M
1,00:35.4,1,349,000000349,A,2,M
1,01:49.8,1,350,000000350,A,2,M
1,00:25.5,1,354,000000354,A,4,M
Question,Answer,All,Low CL,Medium CL,High CL,%,%L,%M,%H
1,1,7,0,7,0,4.7,0.0,4.7,0.0
1,2,28,0,25,3,18.9,0.0,16.9,2.0
1,3,16,0,16,0,10.8,0.0,10.8,0.0
1,4,89,0,88,1,60.1,0.0,59.5,0.7
1,5,7,0,7,0,4.7,0.0,4.7,0.0
1,6,0,0,0,0,0.0,0.0,0.0,0.0
1,7,0,0,0,0,0.0,0.0,0.0,0.0
1,8,1,0,1,0,0.7,0.0,0.7,0.0
1,9,0,0,0,0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0.0,0.0,0.0,0.0
