Session ended on Monday, Nov 17 2003 01:21:30 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:15.0,1,101,000000101,A,3,M
1,00:01.1,1,102,000000102,A,3,M
1,00:27.8,1,104,000000104,A,3,M
1,01:00.4,1,105,000000105,A,3,M
1,00:38.3,1,106,000000106,A,3,M
1,00:48.3,2,108,000000108,A,3,M
1,00:31.1,1,109,000000109,A,3,M
1,01:52.1,1,111,000000111,A,3,M
1,00:08.3,1,114,000000114,A,2,M
1,00:02.7,1,115,000000115,A,3,M
1,00:41.1,1,116,000000116,A,3,M
1,00:24.6,1,117,000000117,A,3,M
1,00:52.2,1,118,000000118,A,3,M
1,00:51.1,1,120,000000120,A,3,M
1,00:11.4,1,122,000000122,A,5,M
1,00:50.9,1,123,000000123,A,4,M
1,01:03.8,1,124,000000124,A,3,M
1,00:48.1,1,125,000000125,A,3,M
1,00:53.0,1,126,000000126,A,3,M
1,00:38.5,1,127,000000127,A,3,M
1,00:06.3,1,132,000000132,A,3,M
1,01:33.5,1,134,000000134,A,4,M
1,00:43.1,1,135,000000135,A,3,M
1,00:44.8,1,136,000000136,A,3,M
1,01:28.1,1,137,000000137,A,3,M
1,01:08.1,1,138,000000138,A,3,M
1,01:40.4,1,140,000000140,A,3,M
1,00:06.8,1,141,000000141,A,3,M
1,01:58.8,1,142,000000142,A,4,M
1,00:08.2,2,143,000000143,A,3,M
1,00:35.9,1,145,000000145,A,3,M
1,00:48.6,1,146,000000146,A,3,H
1,00:44.9,1,148,000000148,A,2,M
1,01:49.9,1,149,000000149,A,2,M
1,00:38.3,1,150,000000150,A,3,H
1,01:13.7,1,151,000000151,A,4,M
1,00:19.4,1,152,000000152,A,3,M
1,01:39.1,1,153,000000153,A,2,H
1,00:14.8,1,154,000000154,A,3,H
1,01:36.2,1,156,000000156,A,3,M
1,00:09.3,1,158,000000158,A,3,M
1,00:32.7,2,160,000000160,A,3,M
1,00:22.8,1,162,000000162,A,3,M
1,01:08.6,1,164,000000164,A,3,M
1,00:19.2,2,165,000000165,A,3,H
1,00:47.8,1,166,000000166,A,5,M
1,00:55.3,1,167,000000167,A,4,M
1,00:10.6,3,169,000000169,A,2,M
1,01:11.3,2,170,000000170,A,4,M
1,00:13.4,1,171,000000171,A,3,M
1,00:39.2,1,172,000000172,A,3,M
1,00:09.5,1,175,000000175,A,2,M
1,00:31.5,1,176,000000176,A,3,M
1,00:01.7,1,177,000000177,A,3,M
1,00:21.8,1,178,000000178,A,3,M
1,00:51.3,1,180,000000180,A,3,M
1,00:00.6,1,181,000000181,A,3,M
1,01:21.8,1,182,000000182,A,2,M
1,00:02.6,1,183,000000183,A,3,M
1,00:29.9,1,184,000000184,A,3,M
1,00:38.8,2,185,000000185,A,3,M
1,00:40.4,2,187,000000187,A,3,M
1,00:41.7,2,188,000000188,A,8,M
1,01:07.9,1,189,000000189,A,3,M
1,00:22.5,1,190,000000190,A,3,M
1,01:12.9,1,192,000000192,A,3,M
1,00:42.3,1,194,000000194,A,3,M
1,00:01.1,1,195,000000195,A,3,M
1,00:43.7,1,197,000000197,A,3,M
1,00:55.6,1,199,000000199,A,3,M
1,00:58.8,1,200,000000200,A,3,M
1,00:37.8,2,221,000000221,A,3,M
1,00:07.5,1,223,000000223,A,3,M
1,00:05.2,1,224,000000224,A,3,M
1,00:10.1,1,232,000000232,A,2,M
1,01:26.5,1,236,000000236,A,3,M
1,01:20.1,2,239,000000239,A,3,M
1,01:13.5,1,240,000000240,A,3,M
