Session ended on Wednesday, Nov 19 2003 01:18:48 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:10.6,1,101,000000101,A,4,M
1,00:26.0,1,102,000000102,A,1,M
1,00:22.4,1,103,000000103,A,2,M
1,00:14.8,2,104,000000104,A,2,M
1,00:03.8,1,105,000000105,A,2,M
1,00:21.4,1,106,000000106,A,2,M
1,00:12.8,1,109,000000109,A,2,M
1,00:25.4,1,110,000000110,A,2,M
1,00:25.2,1,111,000000111,A,5,M
1,00:07.1,1,114,000000114,A,1,M
1,00:27.8,1,115,000000115,A,3,M
1,01:11.0,1,116,000000116,A,1,M
1,01:27.5,1,117,000000117,A,2,M
1,00:19.0,1,118,000000118,A,2,M
1,00:19.5,1,122,000000122,A,3,M
1,01:01.6,1,123,000000123,A,5,M
1,00:53.2,1,124,000000124,A,2,M
1,01:12.1,1,125,000000125,A,2,M
1,00:05.9,1,126,000000126,A,2,M
1,00:06.5,1,127,000000127,A,3,M
1,00:06.2,1,132,000000132,A,2,M
1,01:32.0,1,134,000000134,A,2,M
1,00:28.5,1,135,000000135,A,2,M
1,00:21.3,1,136,000000136,A,2,M
1,00:46.6,1,137,000000137,A,3,M
1,00:20.2,1,140,000000140,A,2,M
1,01:20.3,1,141,000000141,A,1,M
1,00:09.9,1,142,000000142,A,2,M
1,00:27.6,1,144,000000144,A,5,M
1,00:04.8,1,145,000000145,A,2,M
1,00:27.1,1,146,000000146,A,2,H
1,00:24.7,1,147,000000147,A,2,M
1,00:48.3,1,148,000000148,A,4,M
1,00:41.3,2,149,000000149,A,5,M
1,00:34.8,1,150,000000150,A,2,H
1,00:23.2,1,151,000000151,A,2,M
1,00:33.1,1,152,000000152,A,2,M
1,01:14.5,1,153,000000153,A,2,H
1,00:00.4,1,154,000000154,A,2,H
1,00:33.3,1,155,000000155,A,5,M
1,00:30.1,1,156,000000156,A,2,M
1,00:25.9,1,157,000000157,A,2,M
1,00:38.7,1,160,000000160,A,2,M
1,00:27.8,1,161,000000161,A,2,M
1,00:28.1,1,162,000000162,A,3,M
1,00:04.8,1,164,000000164,A,2,M
1,00:09.7,1,165,000000165,A,2,M
1,00:23.8,1,166,000000166,A,3,M
1,01:00.7,1,167,000000167,A,2,M
1,00:21.1,1,168,000000168,A,1,M
1,00:09.5,1,169,000000169,A,2,M
1,00:47.4,6,170,000000170,A,2,M
1,00:03.3,1,171,000000171,A,2,M
1,00:03.7,1,172,000000172,A,5,M
1,00:25.5,1,174,000000174,A,2,M
1,00:02.6,2,175,000000175,A,3,M
1,00:14.7,1,177,000000177,A,2,M
1,00:50.0,1,178,000000178,A,2,M
1,00:26.0,2,180,000000180,A,2,M
1,00:16.4,1,181,000000181,A,2,M
1,00:03.5,1,182,000000182,A,2,M
1,00:34.2,1,183,000000183,A,2,M
1,00:07.9,1,184,000000184,A,2,M
1,00:06.1,1,187,000000187,A,5,M
1,00:48.7,2,188,000000188,A,2,M
1,00:19.4,1,189,000000189,A,2,M
