Session ended on Monday, Dec 1 2003 01:23:42 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:25.7,1,101,000000101,A,4,M
1,00:25.6,1,102,000000102,A,4,M
1,00:03.5,1,104,000000104,A,3,M
1,00:21.9,1,105,000000105,A,4,M
1,00:14.0,1,106,000000106,A,4,M
1,00:10.0,1,108,000000108,A,4,M
1,00:54.3,1,109,000000109,A,4,M
1,00:25.3,1,110,000000110,A,2,M
1,00:28.2,1,111,000000111,A,2,M
1,00:08.1,1,114,000000114,A,1,M
1,00:19.9,2,115,000000115,A,3,M
1,01:42.5,1,116,000000116,A,3,M
1,00:38.2,3,117,000000117,A,3,M
1,00:23.7,1,118,000000118,A,4,M
1,00:05.7,1,123,000000123,A,5,M
1,01:02.9,1,124,000000124,A,4,M
1,01:26.3,1,125,000000125,A,4,M
1,01:31.4,1,126,000000126,A,4,M
1,00:16.0,1,131,000000131,A,4,M
1,00:02.2,1,132,000000132,A,3,M
1,00:11.1,1,134,000000134,A,1,M
1,00:33.7,1,135,000000135,A,4,M
1,00:33.5,1,136,000000136,A,5,M
1,00:45.4,1,137,000000137,A,4,M
1,00:10.7,1,138,000000138,A,1,M
1,00:30.7,1,139,000000139,A,3,M
1,00:32.8,1,140,000000140,A,1,M
1,00:28.6,1,141,000000141,A,3,M
1,00:06.3,1,142,000000142,A,1,M
1,00:07.0,1,143,000000143,A,3,M
1,00:03.5,1,144,000000144,A,2,M
1,00:04.0,1,145,000000145,A,2,M
1,00:34.9,1,146,000000146,A,4,M
1,00:52.1,1,147,000000147,A,4,M
1,01:24.1,1,149,000000149,A,1,M
1,01:56.6,1,150,000000150,A,4,M
1,00:20.1,1,151,000000151,A,3,M
1,00:34.9,1,152,000000152,A,4,M
1,01:58.4,2,153,000000153,A,3,M
1,01:54.3,1,154,000000154,A,4,L
1,00:38.7,1,156,000000156,A,1,M
1,00:22.2,1,157,000000157,A,2,M
1,00:00.5,1,158,000000158,A,4,M
1,00:57.3,1,160,000000160,A,1,M
1,00:36.6,1,161,000000161,A,5,M
1,00:08.6,1,162,000000162,A,1,M
1,01:04.8,1,164,000000164,A,3,M
1,00:40.4,1,166,000000166,A,1,M
1,00:11.4,1,167,000000167,A,5,M
1,00:05.8,1,168,000000168,A,2,M
1,01:08.5,3,169,000000169,A,1,M
1,00:09.8,2,174,000000174,A,4,M
1,00:17.3,1,175,000000175,A,3,M
1,00:31.0,1,176,000000176,A,4,M
1,00:04.8,1,177,000000177,A,1,M
1,00:28.4,1,178,000000178,A,1,M
1,00:15.1,1,179,000000179,A,2,M
1,00:02.7,2,180,000000180,A,3,M
1,00:25.5,1,182,000000182,A,4,M
1,00:23.6,1,184,000000184,A,1,M
1,00:47.1,1,185,000000185,A,1,M
