Session ended on Friday, Dec 5 2003 01:21:06 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:10.3,1,102,000000102,A,2,M
1,00:33.3,1,104,000000104,A,3,M
1,01:33.4,2,105,000000105,A,1,M
1,00:03.1,1,106,000000106,A,1,M
1,01:08.9,1,109,000000109,A,1,M
1,00:07.4,1,110,000000110,A,2,M
1,00:28.6,1,111,000000111,A,2,M
1,00:09.0,1,114,000000114,A,1,H
1,00:02.4,1,115,000000115,A,1,M
1,00:59.8,1,116,000000116,A,1,M
1,00:05.1,1,118,000000118,A,1,M
1,00:04.5,1,122,000000122,A,2,M
1,00:34.1,1,123,000000123,A,2,M
1,00:39.7,1,124,000000124,A,1,M
1,00:42.0,1,125,000000125,A,1,M
1,00:22.8,1,126,000000126,A,1,M
1,00:49.7,1,127,000000127,A,2,M
1,00:48.2,1,131,000000131,A,1,M
1,00:06.5,1,132,000000132,A,2,M
1,01:17.6,2,134,000000134,A,1,M
1,01:01.6,1,135,000000135,A,1,M
1,00:32.0,2,136,000000136,A,3,M
1,00:59.0,1,137,000000137,A,1,M
1,00:32.0,1,138,000000138,A,1,M
1,00:24.5,1,139,000000139,A,4,M
1,00:36.1,1,140,000000140,A,1,M
1,00:47.4,1,141,000000141,A,1,M
1,00:00.7,1,142,000000142,A,1,M
1,00:03.3,1,143,000000143,A,3,M
1,00:06.6,1,144,000000144,A,1,M
1,00:21.7,1,145,000000145,A,1,M
1,00:29.4,1,146,000000146,A,1,M
1,00:50.1,1,149,000000149,A,2,M
1,00:20.6,1,150,000000150,A,3,M
1,00:51.3,1,151,000000151,A,1,M
1,00:15.9,1,152,000000152,A,1,M
1,01:21.8,1,153,000000153,A,3,M
1,00:42.1,1,154,000000154,A,3,H
1,00:09.2,1,155,000000155,A,1,M
1,01:03.6,1,156,000000156,A,1,M
1,00:19.2,1,157,000000157,A,2,M
1,00:09.2,1,158,000000158,A,2,M
1,00:37.1,1,160,000000160,A,1,M
1,01:01.5,1,161,000000161,A,1,M
1,01:19.6,1,164,000000164,A,3,M
1,00:24.2,1,167,000000167,A,2,M
1,00:01.7,1,169,000000169,A,1,M
1,01:36.1,3,170,000000170,A,3,M
1,00:06.2,1,171,000000171,A,1,M
1,00:31.1,1,172,000000172,A,1,M
1,00:12.1,1,174,000000174,A,2,M
1,00:41.1,1,175,000000175,A,1,M
1,00:45.2,1,176,000000176,A,1,M
1,00:00.0,1,177,000000177,A,1,M
1,00:53.0,1,178,000000178,A,1,M
1,00:21.0,1,179,000000179,A,2,M
1,00:45.9,1,180,000000180,A,3,M
1,00:11.4,1,184,000000184,A,1,M
1,00:26.0,1,185,000000185,A,1,M
1,00:11.2,1,187,000000187,A,2,M
1,01:07.3,4,188,000000188,A,2,M
1,00:03.9,1,189,000000189,A,1,M
1,00:14.3,1,190,000000190,A,1,M
1,00:57.0,1,191,000000191,A,3,H
1,00:02.6,1,193,000000193,A,2,M
1,01:14.4,1,194,000000194,A,1,M
1,00:07.8,1,197,000000197,A,2,M
1,00:18.0,1,198,000000198,A,1,M
1,00:22.3,1,199,000000199,A,2,M
1,00:29.5,1,200,000000200,A,1,M
1,00:40.9,1,224,000000224,A,1,M
1,00:27.3,1,233,000000233,A,1,M
1,00:50.0,1,239,000000239,A,1,M
1,00:24.3,1,242,000000242,A,3,M
1,00:33.6,1,247,000000247,A,1,M
1,00:01.2,1,248,000000248,A,1,M
1,00:01.0,1,251,000000251,A,1,M
1,00:58.1,1,256,000000256,A,1,M
1,01:05.8,1,257,000000257,A,1,M
1,00:00.4,1,258,000000258,A,2,M
1,00:16.5,1,259,000000259,A,2,M
1,00:49.4,1,262,000000262,A,1,M
1,00:45.4,1,263,000000263,A,1,M
1,00:47.1,1,265,000000265,A,1,M
1,00:00.6,1,266,000000266,A,1,M
1,01:04.4,1,267,000000267,A,2,M
1,01:13.8,1,268,000000268,A,3,M
1,01:41.5,1,269,000000269,A,2,M
1,01:31.3,1,271,000000271,A,1,M
1,00:56.3,1,272,000000272,A,1,M
1,00:21.2,1,275,000000275,A,2,M
1,00:06.8,1,276,000000276,A,1,M
1,00:09.4,1,277,000000277,A,2,M
1,00:07.3,1,280,000000280,A,2,M
1,00:18.2,4,281,000000281,A,1,M
1,00:32.6,1,283,000000283,A,1,M
1,01:02.5,1,284,000000284,A,2,M
1,01:38.4,1,285,000000285,A,3,M
1,00:50.2,1,286,000000286,A,1,M
1,00:04.9,1,287,000000287,A,1,M
1,00:08.2,1,288,000000288,A,2,M
1,00:02.8,1,289,000000289,A,3,M
1,00:21.3,1,295,000000295,A,1,M
1,00:33.5,1,296,000000296,A,2,M
1,00:40.1,1,297,000000297,A,2,M
1,00:14.4,1,298,000000298,A,1,M
1,00:53.5,1,300,000000300,A,2,M
1,00:15.8,3,302,000000302,A,2,M
1,00:01.6,1,304,000000304,A,2,M
1,00:27.0,1,306,000000306,A,3,M
1,00:19.6,1,308,000000308,A,1,M
1,00:02.9,1,309,000000309,A,2,M
1,00:11.0,1,311,000000311,A,1,M
1,00:09.9,2,312,000000312,A,2,M
1,00:13.8,1,314,000000314,A,2,M
1,01:01.0,1,315,000000315,A,1,M
1,00:33.8,1,317,000000317,A,3,M
1,00:03.4,1,318,000000318,A,3,M
1,00:08.9,1,319,000000319,A,1,M
1,00:08.9,1,321,000000321,A,2,M
1,00:00.5,1,322,000000322,A,1,M
1,00:12.4,1,323,000000323,A,2,M
1,01:33.1,3,324,000000324,A,3,M
1,00:39.3,1,326,000000326,A,2,M
1,00:15.4,1,327,000000327,A,1,M
1,00:39.9,1,328,000000328,A,2,M
1,00:44.3,1,329,000000329,A,1,M
1,00:50.5,1,330,000000330,A,2,M
1,00:24.7,1,331,000000331,A,2,M
1,00:01.9,1,334,000000334,A,1,H
1,01:30.0,1,335,000000335,A,2,M
1,00:38.0,1,336,000000336,A,1,M
1,00:40.3,1,337,000000337,A,1,M
1,01:06.5,1,339,000000339,A,1,M
1,00:28.6,1,340,000000340,A,1,M
1,00:05.5,1,342,000000342,A,1,M
1,00:23.0,1,343,000000343,A,2,M
1,00:05.9,1,344,000000344,A,1,M
1,00:54.9,2,346,000000346,A,2,M
1,00:50.5,1,347,000000347,A,1,M
1,00:12.7,2,348,000000348,A,1,M
1,00:38.9,1,350,000000350,A,2,M
1,01:59.0,3,351,000000351,A,3,M
1,00:09.6,1,354,000000354,A,2,M
1,00:05.5,1,355,000000355,A,1,M
Question,Answer,All,Low CL,Medium CL,High CL,%,%L,%M,%H
1,1,79,0,77,2,54.5,0.0,53.1,1.4
1,2,46,0,46,0,31.7,0.0,31.7,0.0
1,3,19,0,17,2,13.1,0.0,11.7,1.4
1,4,1,0,1,0,0.7,0.0,0.7,0.0
1,5,0,0,0,0,0.0,0.0,0.0,0.0
1,6,0,0,0,0,0.0,0.0,0.0,0.0
1,7,0,0,0,0,0.0,0.0,0.0,0.0
1,8,0,0,0,0,0.0,0.0,0.0,0.0
1,9,0,0,0,0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0.0,0.0,0.0,0.0
