Session ended on Wednesday, Dec 10 2003 01:21:52 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
1,00:09.1,1,102,000000102,A,2,M
1,00:25.3,1,103,000000103,A,1,M
1,00:07.5,1,104,000000104,A,1,M
1,00:10.4,1,105,000000105,A,1,M
1,00:21.6,1,106,000000106,A,1,M
1,00:24.6,1,108,000000108,A,1,M
1,00:24.4,1,109,000000109,A,2,M
1,00:43.6,1,111,000000111,A,2,M
1,00:09.6,1,114,000000114,A,2,M
1,00:07.0,1,115,000000115,A,5,M
1,01:36.8,1,116,000000116,A,2,M
1,00:07.6,1,118,000000118,A,2,M
1,00:32.5,1,123,000000123,A,1,M
1,01:03.1,1,124,000000124,A,2,M
1,01:44.5,1,125,000000125,A,2,M
1,00:41.7,1,126,000000126,A,1,M
1,00:03.7,1,127,000000127,A,2,M
1,00:00.0,1,131,000000131,A,1,M
1,00:01.4,1,132,000000132,A,1,M
1,00:30.6,1,135,000000135,A,2,M
1,01:49.3,1,137,000000137,A,2,M
1,00:30.5,1,138,000000138,A,1,M
1,00:14.5,1,139,000000139,A,3,M
1,00:17.7,2,140,000000140,A,2,M
1,00:05.7,1,142,000000142,A,1,M
1,00:20.6,1,143,000000143,A,2,M
1,00:06.0,1,144,000000144,A,2,M
1,00:35.8,1,145,000000145,A,2,M
1,00:40.0,1,146,000000146,A,1,M
1,00:56.6,1,147,000000147,A,2,M
1,01:01.4,1,149,000000149,A,1,M
1,00:08.1,1,150,000000150,A,2,H
1,01:47.7,1,151,000000151,A,2,M
1,00:09.5,1,152,000000152,A,1,M
1,01:04.8,3,153,000000153,A,1,H
1,00:15.7,1,154,000000154,A,2,H
1,01:22.1,1,156,000000156,A,1,M
1,00:05.5,1,157,000000157,A,2,M
1,00:48.5,1,160,000000160,A,1,M
1,01:02.3,1,161,000000161,A,1,M
1,00:16.5,2,162,000000162,A,2,M
1,00:36.9,1,164,000000164,A,1,M
1,00:21.9,1,168,000000168,A,4,M
1,00:18.6,1,169,000000169,A,3,M
1,00:00.0,1,171,000000171,A,1,M
1,00:06.4,1,172,000000172,A,1,M
1,00:53.8,1,174,000000174,A,3,M
1,00:08.8,1,175,000000175,A,1,M
1,01:02.6,1,177,000000177,A,1,M
1,00:32.8,1,178,000000178,A,1,M
1,00:08.2,1,179,000000179,A,3,M
1,00:25.5,1,180,000000180,A,1,M
1,00:20.2,1,181,000000181,A,1,M
1,00:17.6,1,182,000000182,A,2,M
1,00:26.0,1,185,000000185,A,3,M
1,00:09.0,1,187,000000187,A,3,M
1,01:35.4,3,188,000000188,A,1,M
1,00:44.9,1,189,000000189,A,2,M
1,00:02.1,1,190,000000190,A,1,M
1,00:18.1,1,191,000000191,A,2,M
1,00:38.6,1,194,000000194,A,1,M
1,00:08.4,1,197,000000197,A,1,M
1,00:41.5,1,198,000000198,A,2,M
1,00:09.7,1,199,000000199,A,1,M
1,01:04.0,1,200,000000200,A,1,M
1,00:28.0,1,224,000000224,A,1,M
1,00:19.2,2,232,000000232,A,2,M
1,00:06.3,1,233,000000233,A,1,M
1,00:12.3,1,236,000000236,A,2,M
1,00:04.4,1,237,000000237,A,2,M
1,00:23.1,1,239,000000239,A,1,M
1,00:06.9,1,240,000000240,A,2,M
1,00:36.1,1,242,000000242,A,3,M
1,01:20.2,1,246,000000246,A,2,M
